Lat,Lon
40.68887215,-73.94452903
40.82080085,-73.95670327
40.64806092,-73.94637199
40.63656094,-74.08815305
40.81639185,-73.89529641
40.67562152,-73.90118469
40.71984033,-73.9624002
40.83482583,-73.9159815
40.67110691,-73.88143296
40.67007273,-73.79888755
40.81647663,-73.90780368
40.82651778,-73.8184325
40.73021856,-73.81331883
40.78540321,-73.94626137
40.67701092,-73.89865898
40.75363169,-73.96457923
40.62742744,-73.92099792
40.66450509,-73.81112374
40.67498697,-73.94584923
40.60874956,-73.75167608
40.63321729,-73.92258713
40.63948303,-73.94544926
40.77277686,-73.92551901
40.81518346,-73.90393989
40.8555898,-73.90236328
40.76717676,-73.96380668
40.59118984,-73.8100709
40.58800946,-73.80728602
40.69700391,-73.81489041
40.75444896,-73.98811569
40.59403247,-74.06898422
40.7573172,-73.98788056
40.81105293,-73.88072126
40.65560999,-73.75096104
40.65560999,-73.75096104
40.65560999,-73.75096104
40.57586333,-74.00302883
40.74223785,-73.99119252
40.67909794,-73.77394748
40.67909794,-73.77394748
40.68702477,-73.92081914
40.63514191,-73.94789561
40.82166423,-73.91885242
40.77846396,-73.92139645
40.86268727,-73.86641699
40.82044057,-73.95483198
40.68784272,-73.85360609
40.72993936,-73.81043314
40.78926022,-73.94771
40.6367581,-74.11912141
40.6691651,-73.89128109
40.69008097,-73.96055993
40.87916802,-73.85412504
40.86399268,-73.90072403
40.74239378,-73.9542317
40.64312627,-73.90807923
40.64865009,-73.95033556
40.72075567,-73.97817922
40.66008351,-73.91897689
40.67110691,-73.88143296
40.8231013,-73.86969046
40.86174082,-73.85763389
40.85028998,-73.89940708
40.59245143,-73.79976944
40.7584518,-73.81544157
40.83124076,-73.91916596
40.66261394,-73.94676399
40.88745131,-73.84760779
40.86538302,-73.89320188
40.68332947,-73.98792646
40.83732351,-73.91983076
40.83088999,-73.82728462
40.63036655,-73.97371261
40.70649232,-73.87859639
40.82953248,-73.90026956
40.59414517,-73.96041495
40.70426739,-73.89355376
40.67539942,-73.88111889
40.70100059,-73.7708221
40.80069433,-73.94110929
40.75077364,-73.98707329
40.67970041,-73.77604737
40.83064128,-73.87486474
40.67065507,-73.91339092
40.59720835,-74.08512675
40.85396027,-73.90012088
