"","Name","Location","YearRound","Handicap","Borough","Lat","Lon"
"338","Linden Park","Stanley Avenue, Linden Boulevard","Yes","No","Brooklyn",38.6013797,-121.3483853
"339","Linden Park","104 Street & 41 Avenue","Yes","No","Queens",40.689097,-73.840462
"340","Lindower Park","Mill & Strickland avenues, 60 Street","Yes","No","Brooklyn",44.1024575,-85.1474375
"341","Little Flower Playground","Madison Street opposite Jefferson Street","No","Yes","Manhattan",43.0730517,-89.4012302
"342","London Planetree Playground","88 Street, Atlantic-95 avenues","Yes","No","Queens",41.1680702,-73.1860619
"343","Loreto Park Playground","Morris Park Avenue, Haight Avenue, Tomlinson Avenue, Van Nest Avenue","Yes","No","Bronx",40.8522006,-73.8507279
"344","Loring Field","North Conduit & 149 Avenue","Yes","No","Queens",40.6669522,-73.7957487
"345","Lost Battalion Hall","Queens Boulevard between 62 Avenue & 62 Road","Yes","No","Queens",40.7337976,-73.8721667
"346","Lou Lodati Playground","Skillman Avenue & 43 Street","Yes","No","Queens",40.7161042,-73.9429514
"347","Louis Armstrong Playground (PS 143)","37 Avenue between 112 & 113 streets","No","Yes","Queens",51.3298101,-0.4139676
"348","Louis Pasteur Park","248 Street & 51 Avenue","Yes","No","Queens",43.7894496,-97.317357
"350","Luna Park Playground","West 12 Street & Surf Avenue","Yes","No","Brooklyn",37.0239219,-94.7507402
"351","Lyons Pool","Pier 6, Victory Boulevard","No","Yes","Staten Island",41.4440436,-71.5008762
"352","Macombs Dam Park","East 161th Street & Ruppert Place","Yes","No","Bronx",40.0221122,-86.1021167
"353","Magenta Playground","Olinville Avenue, Rosewood Street","Yes","Yes","Bronx",40.8803912,-73.8668996
"354","Mahoney Playground","Beechwood & Cleveland avenues","Yes","No","Staten Island",43.6093958,-83.1907247
"355","Mapes Pool","East 180 Street, Mapes & Prospect avenues","Yes","No","Bronx",44.676126,-84.2319123
"356","Maple Playground","Kissena Boulevard & Maple Avenue","No","Yes","Queens",40.7413696,-73.8148124
"357","Marble Hill Playground","Marble Hill Avenue, West 230 Street, West 228 Street","No","No","Bronx",38.8362227,-90.8380486
"358","Marconi Park","109 Avenue & 155 Street","Yes","No","Queens",42.4839997,-86.1205004
"359","Marc's & Jason's Playground","Sterling Street & Empire Boulevard","Yes","No","Brooklyn",42.3836001,-71.7737004
"360","Marcus Garvey Park (Pelham Fritz Recreation Center)","18 Mount Morris Park West","Yes","No","Manhattan",40.8050093,-73.9448633
"361","Marcus Garvey Park (Pool)","Madison Avenue, East 120 to East 124 streets","No","No","Manhattan",43.6728093,-79.4052216
"363","Marie Curie Park (JHS 158)","211 & Oceana streets, 46 Avenue","Yes","No","Queens",18.1655046,42.2153467
"365","Marine Park Nature Center","East 33rd Street and Avenue U","No","Yes","Brooklyn",40.605043,-73.9299035
"366","Marion-Hopkinson Playground","Hopkinson Avenue & Marion Street","Yes","No","Brooklyn",40.6692495,-73.9135787
"367","Markham Playground","Willowbrook Parkway, Forest Avenue & Houston Street","Yes","Yes","Staten Island",41.7511858,-87.9011036
"368","Martin Luther King Houses","Lenox Avenue, West 113 to West 114 streets","Yes","No","Manhattan",38.6727119,-90.2934383
"371","Maurice A. Fitzgerald Playground","Atlantic Avenue & 106 Street","Yes","No","Queens",40.6762581,-73.9082993
"373","May Matthews Playground","West 45 Street between 9 & 10 avenues","Yes","No","Manhattan",29.8331559,31.3529387
"374","Mazzei Playground","Mace Avenue, Williamsbridge Road","Yes","No","Bronx",40.8629385,-73.8520399
"375","McCaffrey Playground","West 43 Street, 8 & 9 avenues","Yes","No","Manhattan",29.5434241,-90.3389027
"379","McKinley Park","Fort Hamilton Parkway, 73 to 78 streets, 7 Avenue","Yes","No","Brooklyn",40.6094454,-74.0285434
"380","McKinley Playground","Avenue A, East 3-East 4 streets","No","No","Manhattan",47.6532648,-117.3469896
"382","Mellett Playground","Avenue V between East 13 & East 14 streets","Yes","No","Brooklyn",29.840364,31.3375167
"383","Metropolitan Pool","Southeast corner of Bedford & Metropolitan avenues","Yes","No","Brooklyn",52.1773487,-0.4240279
"385","Midland Playground","Lincoln & Mason avenues","Yes","No","Staten Island",40.8257625,-96.6851982
"386","Millbrook Playground","East 135 Street, Cypress Avenue","Yes","Yes","Bronx",28.2588861,-81.2704128
"387","Monsignor Mcgolrick Park","Driggs to Nassau avenues, Russell to Monitor streets","Yes","No","Brooklyn",43.7232522,-111.1113326
"388","Montbellier Park","Springfield Boulevard & 139 Avenue","No","No","Queens",40.7073529,-73.7390612
"389","Morningside Park","West 123 Street & Morningside Avenue","Yes","Yes","Manhattan",41.6661463,-87.8912235
"391","Morningside Playground","West 117 Street & Morningside Avenue","Yes","No","Manhattan",41.4675749,-81.7687675
"394","Msgnr. Kett","West 204 Street & Nagle Avenue","Yes","No","Manhattan",33.8456017,-118.2992222
"397","Murray Playground","21 Street, 45 Avenue, 11 Street, 45 Road","No","No","Queens",37.0324294,35.4022227
"398","Nautilus Playground","Merrick & Baisley boulevards","Yes","No","Queens",40.6628795,-73.551516
"400","Newport Playground","Newport Avenue & Osborn Street","Yes","No","Brooklyn",41.8933422,-71.3540475
"402","Noonan Playground","Greenpoint & 47 avenues, 43 Street","Yes","No","Queens",40.7245448,-73.9418603
"403","North Rochdale Playground (PS 30)","Baisley Boulevard & Bedell Street","Yes","No","Queens",40.6805681,-73.7745184
"404","Nostrand Playground","Nostrand & Foster avenues","Yes","No","Brooklyn",40.6414184,-73.9485722
"405","Ocean Hill Playground","Bergen Street, Rockaway Avenue, Dean Street","Yes","No","Brooklyn",40.885978,-74.555825
"407","Oracle Playground","Adelphi & Myrtle avenues","Yes","No","Brooklyn",39.0031656,-76.97192
"408","Orchard Beach Pavilion","Bruckner Boulevard, Eastchester Bay, Hutchinson","No","No","Bronx",40.8524136,-73.8263227
"409","Orchard Beach Pavilion","Bruckner Boulevard, Eastchester Bay, Hutchinson","Yes","Yes","Bronx",40.8524136,-73.8263227
"410","Orville & Wilbur Playground","West 156 Street & St. Nicholas Avenue","Yes","No","Manhattan",40.0137425,-86.178515
"411","Osborn Playground","Linden Boulevard & Osborn Street","Yes","No","Brooklyn",40.692642,-73.769417
"412","Owen Dolen Recreation Center","Westchester Avenue, Lane Avenue, East Tremont Avenue","Yes","No","Bronx",41.742645,-81.1931422
"413","P.O. Nicholas Demutis Playground","102 Street & Liberty Avenue","Yes","No","Queens",45.9135471,-100.3364941
"415","Paerdegat Park","Foster Avenue, East 40-41 streets","Yes","No","Brooklyn",44.4017288,-122.6973751
"416","Painters Playground (PS 174)","Alderton Street from Dieterle to Elwell Crescents","Yes","No","Queens",47.1695456,-122.2292845
"417","Park Slope Playground","Berkeley Street & Lincoln Place","Yes","No","Brooklyn",38.7544952,-90.3312256
"419","Parkside Playground","Parkside, Bedford & Rogers avenues","Yes","No","Brooklyn",52.0104505,-0.384802
"420","Paul W. Kolbert Park/Rachel Haber Cohen Playground","Avenue L, East 17 to East 18 streets","Yes","No","Brooklyn",36.1259239,-111.2178871
"421","Pelham Bay Park (Bruckner Boulevard and Wilkinson Avenue)","Bruckner Boulevard, Eastchester Bay, Hutchinson","Yes","No","Bronx",40.8524136,-73.8263227
"422","Pelham Bay Park (Bruckner CS)","Bruckner Boulevard, Eastchester Bay, Hutchinson","Yes","No","Bronx",40.8524136,-73.8263227
"423","Pelham Bay Park (Hunter Island Picnic Area)","Bruckner Boulevard, Eastchester Bay, Hutchinson","Yes","Yes","Bronx",40.8524136,-73.8263227
"424","Pelham Bay Park (Playground for All Children)","Bruckner Expressway & Buhre Avenue","Yes","Yes","Bronx",40.8252582,-73.8663659
"425","Pelham South Park Headquarters","Bruckner Boulevard, Eastchester Bay, Hutchinson","Yes","No","Bronx",40.8524136,-73.8263227
"426","People's Park Playground","Brook Avenue, East 141 Street","Yes","No","Bronx",52.1611208,7.5086008
"427","Peter's Field","183 Place & Henderson Avenue","Yes","No","Queens",41.5617514,-87.562209
"428","PFC Thomas Norton Memorial Playground","Nostrand Avenue & Marine Parkway","Yes","No","Brooklyn",40.67838,-73.94822
"430","Pink Playground","Stanley Avenue & Eldert Lane","Yes","No","Brooklyn",39.7879895,-84.1773775
"432","Playground 70","West End Avenue & West 70 Street","Yes","Yes","Manhattan",40.786941,-73.979288
"433","Playground 90/PS 148 Playground","Northern Boulevard & 90 Street","Yes","No","Queens",40.7887109,-73.7056104
"435","Playground Ninety Six (XCVI)","2 Avenue, East 96 to East 97 streets","Yes","No","Manhattan",30.1299866,-85.599535
"436","Playground Seventy-Five (PS 154)","160 Street & 75 Avenue","Yes","No","Queens",42.4651008,-95.7402758
"437","Police Officer Reinaldo Salgado Playground","Madison Street & Patchen Avenue","Yes","No","Brooklyn",35.0131472,-90.7226097
"438","Poor Richard's Playground","East 109 Street between 2 & 3 avenues","Yes","No","Manhattan",29.8462469,31.344523
"439","Potomac Playground","Tompkins Avenue & Halsey Street","Yes","No","Brooklyn",40.6120263,-74.0708689
"440","Pratt Playground","Willoughby Avenue, Emerson Place","Yes","No","Brooklyn",41.6397696,-81.4065011
"441","Prescott Playground","Hylan Boulevard & Huguenot Avenue","Yes","No","Staten Island",40.5464584,-74.1414633
"444","Prospect Park (Middle Long Meadow)","Picnic House","Yes","Yes","Brooklyn",36.2487889,-92.2453764
"450","PS 1 Playground","46 & 47 streets, 3 Avenue","Yes","No","Brooklyn",35.4892582,45.870688
"461","Rappaport Playground","52-53 streets, Fort Hamilton Parkway","Yes","No","Brooklyn",40.6364526,-74.0005217
"462","Real Good Park (Lie Playground)","LIE, 99 Street & 62 Avenue","Yes","Yes","Queens",40.7393545,-73.7924011
"465","Red Hook Park (Coffey Park Playground)","King, Richards, & Dwight Streets","Yes","No","Brooklyn",52.6339568,-1.152479
"468","Renaissance Playground","West 144 Street, between 7 & 8 avenues","Yes","No","Manhattan",29.839422,31.3384822
"470","Richman (Echo) Park Playground","East 178 Street & Ryer Avenue, Upper Level","Yes","Yes","Bronx",40.8457333,-73.8893856
"471","Rienzi Playground","East 226 Street, Barnes Avenue, East 225 Street","Yes","No","Bronx",32.828071,-96.586918
"473","Riverside Park (Boat Basin)","Riverside Drive to Hudson River, West 59th Street to Clair Place","No","No","Manhattan",40.8158821,-73.9623705
"475","Riverside Park (Claremont)","West 124 Street & Riverside Drive","Yes","No","Manhattan",43.3294489,-85.9196777
"477","Riverside Park (Dinosaur Playground)","West 97 Street & Riverside Drive","Yes","No","Manhattan",41.7166075,-87.7321699
"478","Riverside Park (Hippo Playground)","West 91 Street & Riverside Drive","Yes","No","Manhattan",41.7270733,-87.756897
"479","Riverside Park (Neufeld Playground)","West 76 Street & Riverside Drive","Yes","No","Manhattan",43.8501819,-85.8749985
"480","Riverside Park (River Run Playground)","West 83 Street & Riverside Drive","Yes","No","Manhattan",38.9780838,-94.9017482
"481","Riverside Park (Riverbank Playground)","West 142 Street & Riverside Drive","Yes","No","Manhattan",41.6370323,-87.6415624
"482","Riverside Park (Ten Mile River Playground)","West 148 Street & Hudson River","No","No","Manhattan",41.6208231,-87.6681095
"483","Riverside Park (Tennis Courts)","Riverside Drive & West 96th Street","Yes","No","Manhattan",40.8158821,-73.9623705
"484","Robert Moses Playground","1 Avenue, East 41 to East 42 streets","Yes","No","Manhattan",36.1259239,-111.2178871
"488","Rockaway Beach & Boardwalk (Beach 59th Street Playground)","Boardwalk & Beach 59-60 streets","Yes","No","Queens",29.9577052,-95.5791226
"489","Rockaway Beach 106 Comfort Station","Beach 106 Street","No","Yes","Queens",40.582913,-73.8278554
"490","Rockaway Beach 117th L/G","Beach 117 Street","No","Yes","Queens",40.5795009,-73.8381068
"491","Rockaway Beach 86 Comfort Station","Beach 86 Street","No","Yes","Queens",40.5890677,-73.8114645
"492","Rockaway Beach 97 Comfort Station","Beach 97 Street","No","Yes","Queens",40.584947,-73.8188057
"493","Rodney Playground South","Rodney, South 3 & South 4 streets","Yes","No","Brooklyn",42.2054689,-95.9498735
"494","Roebling Playground","Wilson & Lee avenues, Taylor Street","Yes","No","Brooklyn",35.7212689,-77.9155395
"496","Rolf Henry Playground","New York & Clarkson avenues","Yes","No","Brooklyn",40.7127837,-74.0059413
"497","Rose Hill Park","Webster Avenue, Harlem River, East Fordham Road","Yes","No","Bronx",40.8444372,-73.9026954
"501","Rudd Playground","Aberdeen Street & Bushwick Avenue","Yes","No","Brooklyn",-38.1457082,144.3383446
"503","Russell Pederson Playground","Colonial Road, 83 to 85 streets","Yes","No","Brooklyn",49.8908468,-97.1508735
"505","Sara D. Roosevelt Park","East Houston Street to Canal Street","Yes","Yes","Manhattan",29.7604267,-95.3698028
"508","Seaside Playground (PS 225)","Rockaway Beach Boulevard, B109-B110 streets","Yes","No","Queens",39.2901849,-76.4008563
"509","Seth Low Playground","Avenue P, Bay Parkway, West 12 Street","Yes","No","Brooklyn",37.4629089,-122.1441399
"510","Seton Park","West 135 Street, Independence Avenue, West 232 Street","Yes","No","Bronx",39.7865643,-94.8548266
"511","Seton Park Playground","West 235 Street & Douglas Avenue","No","No","Bronx",40.9666567,-95.3371507
"512","Sheltering Arms Park","West 129 Street, Amsterdam Avenue","Yes","No","Manhattan",41.2004898,-73.2104258
"513","Sheltering Arms Park (Pool)","West 129 Street, Amsterdam Avenue","No","No","Manhattan",41.2004898,-73.2104258
"520","Slope Park","6 Avenue Bet 18 & 19 Sts","Yes","No","Brooklyn",29.8387038,31.3384993
"521","Smokey Oval","125 Street & Atlantic Avenue","Yes","No","Queens",40.8107835,-73.9525929
"522","Sol Bloom Playground","Columbus Avenue, West 91 to West 92 streets, Central Park West","Yes","No","Manhattan",40.7828647,-73.9653551
"527","Sperandeo Brothers Playground","Atlantic Avenue & Elton Street","Yes","No","Brooklyn",40.6762581,-73.9082993
"529","St Nicholas Park South","West 129 & 7 Avenue","Yes","No","Manhattan",43.6118917,-112.1298471
"530","St. Albans Park (174 Street Playground)","174 Street & 113 Avenue","Yes","No","Queens",44.8645206,-98.4228011
"531","St. Andrew's Playground","Atlantic Avenue & Herkimer Street","Yes","No","Brooklyn",40.6762581,-73.9082993
"532","St. Catherine's Park","East 67-68 streets, 1 Avenue","Yes","No","Manhattan",40.764625,-73.9583262
"533","St. Mary's Park (Recreation Center)","450 St. Ann's Avenue","Yes","Yes","Bronx",37.8921376,-89.5047806
"534","St. Mary's Park West","St. Anns Avenue & East 147 Street","Yes","No","Bronx",40.8123102,-73.9140718
"536","St. Nicholas Park","West 133 Street & St. Nicholas Avenue","Yes","No","Manhattan",38.8257134,-95.8199323
"537","St. Nicholas Park","West 129 Street & St. Nicholas Terrace","Yes","No","Manhattan",38.8923642,-94.7119418
"538","St. Nicholas Park (Arlington Edinboro Playground)","West 140 Street & St. Nicholas Avenue","Yes","No","Manhattan",40.5150292,-93.99842
"539","St. Vartan Park","East 35-East 36 streets, between 1 & 2 avenues","Yes","Yes","Manhattan",29.8894662,31.3071263
"540","Stanley Isaacs","East 96-97 streets & FDR Drive","Yes","Yes","Manhattan",36.0234368,-95.8724539
"541","Stapleton Playground","Tompkins Avenue & Broad Street","Yes","Yes","Staten Island",40.6120263,-74.0708689
"542","Star Spangled Banner Playground","Franklin & Willoughby avenues","Yes","No","Brooklyn",35.9250637,-86.8688899
"543","Stars & Stripes Playground","Baychester Avenue, Crawford Avenue","Yes","No","Bronx",40.8693862,-73.8330844
"544","Sternberg Park","Montrose Avenue, Boerum, Lorimer, Leonard streets","Yes","Yes","Brooklyn",56.706922,-2.466115
"545","Stockton Playground","Marcy & Park avenues","Yes","No","Brooklyn",43.1706253,-75.2915564
"546","Stroud Playground","Classon Avenue & Sterling Place","Yes","No","Brooklyn",40.6844907,-73.9591228
"547","Sunset Park","41 to 44 streets, 5 to 7 avenues","Yes","No","Brooklyn",14.445776,79.9814137
"548","Sunset Park (Recreation Center)","41 to 44 streets, 5 to 7 avenues","Yes","No","Brooklyn",14.445776,79.9814137
"549","Surf Playground","West 27 Street & Surf Avenue","Yes","No","Brooklyn",36.8756394,-76.2967379
"550","Tall Oak Playground","64 Avenue, 218 & 219 streets","Yes","No","Queens",38.3221127,-77.4641885
"552","Tecumseh Playground","West 77 Street & Amsterdam Avenue","Yes","No","Manhattan",41.7536803,-87.6872304
"553","Terrace Playground","Howard Avenue & Martha Street","Yes","Yes","Staten Island",28.8535234,-96.3819597
"557","Tiger Playground","Evergreen Avenue & Eldert Street","Yes","Yes","Brooklyn",43.2773188,-93.4083467
"558","Tilden Playground","Tilden Avenue, East 48 to East 49 streets","Yes","No","Brooklyn",43.6947781,-79.5158585
"559","Todt Hill Playground","Schmidts Lane & Manor Road","Yes","Yes","Staten Island",40.6094076,-74.1165739
"561","Tremont Park Playground","Corner of East 175 Street & Arthur Avenue","Yes","No","Bronx",43.1905,-91.8592758
"564","Underhill Playground","Underhill Avenue & Prospect Place","Yes","No","Brooklyn",41.2601064,-73.7968702
"565","Underwood Park","Lafayette & Waverly avenues","Yes","Yes","Brooklyn",30.2240897,-92.0198427
"566","Union Playground (PS 214)","Union Street & 31 Road","Yes","No","Queens",42.8212715,-89.3010356
"569","Van Cortlandt Park (Classic Playground)","Van Cortlandt Park South and Gouverneur Avenue","Yes","No","Bronx",40.8849265,-73.8907719
"571","Van Cortlandt Park (Nature Center)","West 239 Street & Van Cortlandt East","Yes","No","Bronx",38.6945639,-94.6987116
"572","Van Cortlandt Park (Pool Building)","West 242nd Street & Broadway","Yes","No","Bronx",40.8895802,-73.8999318
"573","Van Cortlandt Park (Stables Area)","Broadway and West 254th Street","Yes","No","Bronx",40.9010541,-73.8969283
"576","Van Cortlandt Park (UC Pool Men's Locker)","West 242nd Street & Broadway","Yes","No","Bronx",40.8895802,-73.8999318
"577","Van Cortlandt Park (Woodlawn Playground)","West 239 Street & Van Cortlandt East","Yes","No","Bronx",38.6945639,-94.6987116
"579","Vesuvio Playground","Spring & Thompson streets","Yes","Yes","Manhattan",36.4214066,-116.4221616
"580","Vidalia Park","Vyse & Daly avenues between West 179-180 streets","No","Yes","Bronx",52.1790819,-1.2987189
"583","Vleigh Place Playground","Vleigh Place & 141 Street","Yes","Yes","Queens",40.72314,-73.8204868
"584","Vleigh Playground (PS 165)","70 Road to 71 Avenue","Yes","No","Queens",23.0599167,113.1020109
"585","Wagner Pool","East 124 Street between 1 & 2 Avenues","No","No","Manhattan",32.9744973,-91.7396503
"588","Washington Square Park Western Half","5 Avenue, Waverly Place, West 4 & MacDougal streets.","Yes","No","Manhattan",43.1505058,-77.6190564
"589","Watson Gleason Playground","Gleason Avenue, Rosedale Avenue, Watson Avenue, Nobel Avenue","Yes","No","Bronx",28.6160748,-80.8213475
"590","Wayanda Park","Robard Lane & 217 Street","Yes","No","Queens",40.7101235,-73.7395005
"592","Weeping Beech Park","37 Avenue & Bowne Street","Yes","No","Queens",41.5505926,-87.2047099
"593","West 2nd Street Comfort Station","W. 2nd Street","No","No","Brooklyn",33.3909024,-104.7074011
"595","West 8nd Street CS","W 8 St.","No","No","Brooklyn",33.4242225,-94.057226
"596","Whitestone Playground (PS 193)","12 Avenue & 153 Street","Yes","No","Queens",40.7607442,-74.002077
"597","William E. Kelly Memorial Park","Avenue S, East 14 & East 15 streets","Yes","No","Brooklyn",45.4572407,-91.0830932
"600","Willis Playground","East 139 Street, East 140 Street, Willis & Alexander avenues","Yes","No","Bronx",39.5854625,-94.9258932
"601","Willoughby Playground","Tompkins & Willoughby avenues","Yes","No","Brooklyn",42.3730923,-84.5416359
"603","Willowbrook Park","Richmond Avenue To Victory Boulevard","Yes","No","Staten Island",37.5407246,-77.4360481
"604","Wingate Park","Brooklyn Avenue & Rutland Road","Yes","No","Brooklyn",33.0303077,-83.9287213
"605","Woods Playground","Bergen Street & Utica Avenue","Yes","No","Brooklyn",40.7233091,-74.1994354
"606","Woodtree Playground","20 Avenue, 37 Street, 38 Street","Yes","No","Queens",36.9996718,35.3042262
