"","Name","Location","YearRound","Handicap","Borough","Lat","Lon"
"74","Bronx Park (French Charley's Playground)","East 204 Street & W/S Bronx Park","Yes","No","Bronx",40.8740125,-73.8833881
"75","Bronx Park (Olinville Playground)","East 219 Street & Bronx River Parkway","Yes","No","Bronx",38.7180672,-94.2559255
"78","Bronx Park (Rosewood Playground)","Bronx River Parkway & Rosewood Street","Yes","No","Bronx",40.9476645,-73.8345485
"79","Bronx Park (Waring Playground)","Bronx Park East between Waring Avenure and Thwaites Place","Yes","No","Bronx",40.8370495,-73.8654295
"80","Bronx River Parkway (Parque de los Ninos)","Bronx River Parkway, Bronx Park, Westchester/NYC City Line.","Yes","Yes","Bronx",40.864696,-73.871816
"82","Brower Park","Brooklyn, St. Mark's, Kingston avenues, Park Place","Yes","No","Brooklyn",40.6781784,-73.9441579
"83","Brower Park (Museum)","Brooklyn, St. Mark's, Kingston avenues, Park Place","Yes","No","Brooklyn",40.6781784,-73.9441579
"84","Brownsville Playground","Linden Boulevard & Hegeman Avenue","Yes","No","Brooklyn",40.692642,-73.769417
"86","Bushwick Playground & Pool","Flushing Avenue, Bushwick Avenue & Humboldt Street","No","No","Brooklyn",40.7018957,-73.9369936
"87","Bushwick Playground & Pool","Flushing & Bushwick Avenue between Garden & Beaver","Yes","No","Brooklyn",40.7674987,-73.833079
"88","Cabbell Park/Cambria Playground","121 Avenue & 220 Street","Yes","No","Queens",44.9720313,-96.4146613
"91","Campiz Playground","Hope Street & Metropolitan Avenue","Yes","No","Brooklyn",41.6957277,-71.2795162
"93","Capt. Rivera Playground","East 156 Street, Forest Avenue","Yes","Yes","Bronx",43.659011,-70.2672877
"94","Capt. Tilly Park","Highland Avenue, Upland Parkway, Gothic Parkway, 85 Avenue","Yes","No","Queens",40.3200915,-98.8997422
"95","Captain Mario Fajardo Park","Kissena Boulevard & Booth Memorial Avenue","Yes","No","Queens",40.7413696,-73.8148124
"96","Carl Schurz Park","East 84 Street & East End Avenue","Yes","Yes","Manhattan",39.2430991,-93.8875601
