"","zipcode","population"
"2753",11372,66636
"2754",11373,100820
"2755",11374,43600
"2756",11375,68733
"2757",11377,89830
"2758",11378,34981
"2759",11379,34821
"2760",11385,98592
"2761",11411,18556
"2762",11412,34882
"2763",11413,38912
"2764",11414,26148
"2765",11415,19341
"2766",11416,24861
"2767",11417,28967
"2768",11418,36256
"2769",11419,47211
"2770",11420,44354
"2771",11421,39127
"2772",11422,30425
"2773",11423,29987
"2774",11424,0
"2775",11425,0
"2776",11426,17590
"2777",11427,23593
"2778",11428,19168
"2779",11429,25105
"2780",11430,184
"2781",11432,60809
"2782",11433,32687
"2783",11434,59129
"2784",11435,53687
"2785",11436,17949
"2786",11451,0
"2787",11501,19148
"2788",11507,7406
"2789",11509,2653
"2790",11510,33048
"2791",11514,4673
"2792",11516,7556
"2793",11518,10549
"2794",11520,43341
"2795",11530,27273
"2796",11542,27633
"2797",11545,12065
"2798",11547,793
"2799",11548,2780
"2800",11549,2922
"2801",11550,56435
"2802",11552,23616
"2803",11553,26034
"2804",11554,38132
"2805",11556,17
"2806",11557,7823
"2807",11558,8370
"2808",11559,8176
"2809",11560,6464
"2810",11561,37280
"2811",11563,22666
"2812",11565,8690
"2813",11566,35321
"2814",11568,4555
"2815",11569,1398
"2816",11570,26646
"2817",11572,30574
"2818",11575,16272
"2819",11576,12366
"2820",11577,12337
"2821",11579,5055
"2822",11580,40113
"2823",11581,20844
"2824",11590,45768
"2825",11596,10480
"2826",11598,13328
"2827",11691,60035
"2828",11692,18540
"2829",11693,11916
"2830",11694,20408
"2831",11697,4079
"2832",11701,27109
"2833",11702,14498
"2834",11703,16415
"2835",11704,40222
"2836",11705,8030
"2837",11706,62543
"2838",11709,6669
"2839",11710,34496
"2840",11713,10401
"2841",11714,22658
"2842",11715,4752
"2843",11716,10700
"2844",11717,60745
"2845",11718,3103
"2846",11719,3589
"2847",11720,29189
"2848",11721,6292
"2849",11722,35177
"2850",11724,3220
"2851",11725,29150
"2852",11726,19857
"2853",11727,29030
"2854",11729,28032
"2855",11730,14712
"2856",11731,30184
"2857",11732,3430
"2858",11733,18949
"2859",11735,32098
"2860",11738,17638
"2861",11739,1223
"2862",11740,9454
"2863",11741,27655
"2864",11742,13261
"2865",11743,42230
"2866",11746,67094
"2867",11747,19803
"2868",11749,3345
"2869",11751,14961
"2870",11752,9531
"2871",11753,12014
"2872",11754,18958
"2873",11755,12387
"2874",11756,42791
"2875",11757,45700
"2876",11758,53804
"2877",11762,22360
"2878",11763,28506
"2879",11764,13200
"2880",11765,737
"2881",11766,12635
"2882",11767,14530
"2883",11768,21902
"2884",11769,9506
"2885",11770,137
"2886",11771,10007
"2887",11772,44837
"2888",11776,24235
"2889",11777,8968
"2890",11778,12709
"2891",11779,38421
"2892",11780,15524
"2893",11782,15814
"2894",11783,21288
"2895",11784,24655
"2896",11786,6344
"2897",11787,35772
"2898",11788,16821
"2899",11789,7895
"2900",11790,18511
"2901",11791,25076
"2902",11792,8523
"2903",11793,32298
"2904",11794,3165
"2905",11795,26030
"2906",11796,4056
"2907",11797,9041
"2908",11798,15347
"2909",11801,39553
"2910",11803,28127
"2911",11804,5010
"2912",11901,27172
"2913",11930,1343
"2914",11931,151
"2915",11932,1398
"2916",11933,6844
"2917",11934,7263
"2918",11935,3304
"2919",11937,15398
"2920",11939,926
"2921",11940,5210
"2922",11941,1986
"2923",11942,4603
"2924",11944,4299
"2925",11946,14068
"2926",11947,416
"2927",11948,1123
"2928",11949,14573
"2929",11950,16268
"2930",11951,13680
"2931",11952,4637
"2932",11953,13553
"2933",11954,3326
"2934",11955,3285
"2935",11956,349
"2936",11957,743
"2937",11958,635
"2938",11959,939
"2939",11960,1084
"2940",11961,12834
"2941",11962,494
"2942",11963,6622
"2943",11964,1858
"2944",11965,534
"2945",11967,26583
"2946",11968,11593
"2947",11970,522
"2948",11971,5818
"2949",11972,1321
"2950",11973,9
"2951",11975,408
"2952",11976,1565
"2953",11977,2467
"2954",11978,3255
"2955",11980,4990
