City,Agency,Complaint,Location,Facility,Lat,Lon
WOODSIDE,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.74089618,-73.8996069
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.78654778,-73.95255323
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.729879,-73.95759436
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
SPRINGFIELD GARDENS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BAYSIDE,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.7735276,-73.78474932
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.7741151,-73.98862703
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.7781828,-73.98857218
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.88046703,-73.88383183
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
ASTORIA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.7616939,-73.91788804
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.88360709,-73.91557485
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.68174168,-73.95858403
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.71846169,-73.95280372
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
RIDGEWOOD,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
FLUSHING,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
JAMAICA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.69248151,-73.79598419
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.54643457,-74.19226804
ASTORIA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.77086104,-73.92990622
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.78910804,-73.96655233
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
RIDGEWOOD,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
WHITESTONE,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BAYSIDE,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
ASTORIA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
FOREST HILLS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.71519825,-73.83612143
QUEENS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.90167078,-73.9061105
QUEENS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.57477338,-73.97336229
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BAYSIDE,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.62060714,-73.95859674
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
FAR ROCKAWAY,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.87166977,-73.89779683
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.60291566,-74.01074961
ELMHURST,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.74441613,-73.8861189
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.66879788,-73.93112015
,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.59327992,-73.94537396
MIDDLE VILLAGE,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.85926003,-73.93416924
JAMAICA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
LONG ISLAND CITY,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.62495777,-74.14576746
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.77745272,-73.9888431
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.60247107,-74.01001849
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.59726737,-73.99865686
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.69222715,-73.93090843
OZONE PARK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.67144247,-73.84505738
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.62895947,-73.89720301
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.79216287,-73.97769211
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.69222715,-73.93090843
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.71055807,-73.99414219
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
JAMAICA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.68008797,-73.80176909
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.66493024,-73.91439178
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.78069131,-73.98697937
CAMBRIA HEIGHTS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.65582593,-73.98122283
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.66992076,-73.91888781
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.68112057,-73.96442161
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.7750436,-73.96514769
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.82545642,-73.84952968
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.71814457,-73.99382768
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
HOWARD BEACH,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.82684887,-73.9226784
RIDGEWOOD,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.70685211,-73.9481952
FOREST HILLS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BELLEROSE,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.60337244,-73.9582113
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.81006558,-73.95496762
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.71308054,-73.96407269
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.86140473,-73.87057924
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.79465105,-73.97178273
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.79024334,-73.97314607
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
ASTORIA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.77291378,-73.89664865
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
FOREST HILLS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.85206776,-73.86860571
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
SPRINGFIELD GARDENS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
JAMAICA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.76099269,-73.99075903
RIDGEWOOD,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.74144464,-74.00872943
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.57919477,-73.9543457
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.7310643,-74.00141078
ASTORIA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.8709701,-73.88086183
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
FLUSHING,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.73714033,-73.8146945
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
JAMAICA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
FRESH MEADOWS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.7350806,-73.77689182
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.55406576,-74.18692092
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.72348686,-73.95164569
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.49894885,-74.24436508
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.71308054,-73.96407269
JAMAICA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.71325414,-73.97758505
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.70871914,-73.96418325
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.54244216,-74.14240688
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.6660608,-73.95862981
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.69631987,-73.96061972
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BAYSIDE,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.72972315,-73.95924335
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.77745272,-73.9888431
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.71846169,-73.95280372
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
WOODSIDE,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.74377322,-73.91382855
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
JAMAICA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.80118493,-73.93974571
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.60938565,-74.00002161
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.63597718,-74.00123943
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.81410492,-73.94085393
ASTORIA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.88054876,-73.92233027
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.68812429,-73.9116901
ASTORIA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.62696056,-74.0355135
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.77976188,-73.944358
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.81875824,-73.90874927
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.82579203,-73.9410495
EAST ELMHURST,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.76265918,-73.89044479
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.77682969,-73.98913205
BAYSIDE,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.77131142,-73.77834094
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
WOODSIDE,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.61915093,-73.97186412
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.61989425,-73.91138774
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.63721294,-74.02219844
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
RIDGEWOOD,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.6892753,-73.99912377
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.87166977,-73.89779683
JAMAICA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.6934153,-73.94011717
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
FLUSHING,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
OAKLAND GARDENS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.59779003,-73.94623089
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.65638028,-73.98065322
JAMAICA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.68937396,-73.77371653
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.76123442,-73.96388427
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.66121473,-73.86174409
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.85242471,-73.86872429
FLUSHING,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.76113104,-73.81226696
ASTORIA,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.7599125,-73.95880976
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
STATEN ISLAND,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.70390728,-73.99066235
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.7596199,-73.9619648
FLUSHING,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.66628829,-73.95083646
FOREST HILLS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.71573983,-73.83672613
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
FOREST HILLS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,40.760405,-73.98747426
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
FLUSHING,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
HOLLIS,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BRONX,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
NEW YORK,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
BROOKLYN,Department of Parks and Recreation,Maintenance or Facility,Park,N/A,NA,NA
