"","BOROUGH","ADDRESS","ZIP.CODE","SALE.PRICE"
"1",1," 292 EAST 3 STREET                         ",10009,670509
"4",1," 215 EAST 3 STREET                         ",10009,3500000
"6",1," 182 AVENUE A                              ",10009,1252452
"9",1," 327 EAST 3RD STREET, 4C                   ",10009,370000
"10",1," 317 EAST 3RD STREET, 2                    ",10009,350000
"11",1," 317 EAST 3RD STREET, 17                   ",10009,295000
"12",1," 311 EAST 3RD STREET, 17                   ",10009,340000
"14",1," 248 EAST 7TH STREET, 7-8                  ",10009,575000
"15",1," 248 EAST 7TH   STREET, 17-18              ",10009,565000
"16",1," 252 EAST 7TH STREET, 13                   ",10009,627000
"17",1," 252 EAST 7TH STREET, 5                    ",10009,1150000
"18",1," 268 EAST 4TH STREET, 4AB                  ",10009,385000
"19",1," 610 EAST 5TH STREET, 4                    ",10009,340000
"20",1," 610 EAST 5TH STREET, 9                    ",10009,360000
"21",1," 610 EAST 5TH STREET, 13                   ",10009,382500
"22",1," 55 AVENUE C, 8                            ",10009,499000
"23",1," 55 AVENUE C, 17                           ",10009,510000
"25",1," 216 EAST 7TH STREET, 1                    ",10009,590000
"26",1," 216 EAST 7TH, 5                           ",10009,460000
"27",1," 219 EAST 7TH STREET, 21                   ",10009,495000
"28",1," 219 EAST 7TH STREET, 18                   ",10009,495000
"29",1," 199 EAST 7TH STREET, 3D                   ",10009,465000
"30",1," 628 E.9TH STREET, 1A                      ",10009,90000
"31",1," 323 EAST 8TH STREET, 4B                   ",10009,475000
"32",1," 323 EAST 8TH STREET, 6C                   ",10009,265000
"33",1," 323 EAST 8TH STREET, G                    ",10009,390000
"35",1," 633 EAST 11TH STREET, 16                  ",10009,285000
"36",1," 630 EAST 14TH STREET, 1                   ",10009,412543
"37",1," 626 EAST 14TH STREET, 6                   ",10009,375000
"38",1," 636 EAST 14TH STREET, 18                  ",10009,401267
"39",1," 628 EAST 14TH STREET, 14                  ",10009,397552
"40",1," 185 EAST 2ND STREET, 3B                   ",10009,348000
"41",1," 185 EAST 2 STREET, 1D                     ",10009,330000
"42",1," 185 EAST 2 STREET, 2A                     ",10009,345000
"43",1," 504 EAST 6TH STREET, 3                    ",10009,492000
"44",1," 513 EAST 5TH STREET, 2A                   ",10009,290000
"45",1," 533 EAST 6TH STREET, 6                    ",10009,700000
"46",1," 512 EAST 11TH STREET, 4D                  ",10009,280000
"47",1," 514 EAST 11TH STREET, 2A                  ",10009,200000
"48",1," 518 EAST 11TH STREET, 2B                  ",10009,572500
"49",1," 534 EAST11TH, 19                          ",10009,80000
"50",1," 544 EAST 11TH STREET, 2A                  ",10009,535000
"52",1," 313 EAST 10TH STREET, 4                   ",10009,990000
"54",1," 527 EAST 12TH STREET, C8                  ",10009,380000
"55",1," 527 EAST 12TH STREET, A4                  ",10009,302000
"56",1," 507 EAST 12TH STREET, 4B                  ",10009,425000
"57",1," 300 EAST 4TH STREET, 1-C                  ",10009,750000
"58",1," 211 EAST 3 STREET, 5R                     ",10009,1299000
"59",1," 642 EAST 11 STREET, A1                    ",10009,1050000
"65",1," 217 EAST 7 STREET, 4A-B                   ",10009,775000
"66",1," 217 EAST 7 STREET, 6C-D                   ",10009,976000
"68",1," 143 AVENUE B, 9D                          ",10009,585000
"69",1," 143 AVENUE B, 12A                         ",10009,585000
"71",1," 175 EAST 2 STREET, 3B                     ",10009,750000
"72",1," 175 EAST 2 STREET, 4C                     ",10009,712500
"73",1," 240 EAST HOUSTON STREET, 4E               ",10002,790000
"74",1," 525 EAST 11 STREET, 3F                    ",10009,700000
"75",1," 259 EAST 7 STREET, G                      ",10009,2125000
"76",1," 259 EAST 7 STREET, 1A                     ",10009,1577300
"77",1," 259 EAST 7 STREET, 2A                     ",10009,1500000
"78",1," 259 EAST 7 STREET, PH                     ",10009,5854937
"79",1," 211 EAST 2 STREET, 3                      ",10009,675250
"81",1," 645 EAST 11 STREET, 3A                    ",10009,1078500
"84",1," 525 EAST 12 STREET, 3A                    ",10009,1221900
"85",1," 525 EAST 12 STREET, 5A                    ",10009,1200000
"86",1," 186 EAST 2ND   STREET, 7                  ",10009,285000
"87",1," 50 AVENUE A, 4B                           ",10009,860000
"89",1," 214 AVENUE A, TERR                        ",10009,726300
"100",1," 447 WEST 24 STREET                        ",10011,995000
"101",1," 349 WEST 20 STREET                        ",10011,4750000
"107",1," 347 WEST 21 STREET                        ",10011,3800000
"110",1," 457 WEST 17 STREET                        ",10011,2000000
"113",1," 464 WEST 23 STREET                        ",10011,2624000
"115",1," 217 WEST 16 STREET                        ",10011,7260000
"116",1," 123 WEST 15 STREET                        ",10011,3400000
"117",1," 122 WEST 20 STREET                        ",10011,1643000
"118",1," 156 WEST 20 STREET                        ",10011,2424000
"119",1," 120 WEST 25 STREET                        ",10001,5242000
"120",1," 124 WEST 25 STREET                        ",10001,3653000
"121",1," 126 WEST 25 STREET                        ",10001,4541000
"122",1," 524 WEST 19 STREET                        ",10011,6500000
"126",1," 313 WEST 21 STREET                        ",10011,6250000
"127",1," 200 WEST 26 STREET                        ",10001,34962084
"128",1," 220 WEST 26 STREET                        ",10001,77207114
"129",1,"                                           ",0,1050000
"130",1," 135 WEST 24 STREET                        ",10011,10000
"132",1," 411 WEST 21ST STREET, 4                   ",10011,98782
"133",1," 453 WEST 22ND STREET, 3R                  ",10011,290000
"134",1," 429 WEST 22ND STREET, 3E                  ",10011,980000
"135",1," 411 WEST 22ND   STREET, RES               ",10011,432000
"136",1," 428 WEST 23RD STREET, A                   ",10011,1380000
"137",1," 430 WEST 23RD STREET, F                   ",10011,1385000
"138",1," 442 WEST 23RD STREET, E                   ",10011,1040000
"139",1," 450 WEST 23RD, 1A                         ",10011,1375000
"140",1," 321 WEST 14TH STREET, 4                   ",10014,900000
"141",1," 318 WEST 15TH STREET, 1C                  ",10011,423000
"142",1," 318 WEST 15TH STREET, 2A                  ",10011,395000
"144",1," 340 WEST 19TH STREET, 15                  ",10011,700000
"145",1," 329 WEST 19TH STREET, 4                   ",10011,724000
"146",1," 160 NINTH AVENUE, 4R                      ",10011,380000
"147",1," 360 WEST 21 STREET, 5L                    ",10011,460000
"148",1," 351 WEST 20TH   STREET, 4                 ",10011,680000
"149",1," 337 WEST 20TH STREET, 1B                  ",10011,665000
"150",1," 309 WEST 20TH STREET, 6F                  ",10011,420000
"151",1," 335 WEST 21ST STREET, RW                  ",10011,660000
"152",1," 335 WEST 21ST STREET, 1RE                 ",10011,348000
"153",1," 333 WEST 21ST STREET, FW                  ",10011,355000
"154",1," 316 WEST 22ND, 3                          ",10011,1150000
"155",1," 354 WEST 23RD STREET, 2B                  ",10011,310000
"156",1," 356 WEST 23RD STREET, 4A                  ",10011,579500
"157",1," 356 WEST 23RD   STREET, 1BC               ",10011,833000
"158",1," 359 WEST 29TH STREET, 2                   ",10001,835000
"159",1," 355 WEST 29TH STREET, 5B                  ",10001,625000
"160",1," 345 WEST 29TH STREET, 4                   ",10001,824500
"161",1," 228 WEST 16TH STREET, 4-C                 ",10011,679000
"162",1," 234 WEST 16TH STREET, 5D                  ",10011,405000
"163",1," 227 WEST 16TH STREET, 3WF                 ",10011,305000
"164",1," 252 WEST 21ST STREET, GARDEN              ",10011,870000
"165",1," 260 WEST 21ST   STREET, 3K                ",10011,412500
"166",1," 260 WEST 21ST STREET, 1K                  ",10011,425000
"167",1," 256 WEST 21ST   STREET, 4B                ",10011,350000
"168",1," 256 WEST 21ST STREET, 1D                  ",10011,560000
"169",1," 261 WEST 22ND STREET, 35                  ",10011,615000
"170",1," 140 WEST 16TH STREET, 2W                  ",10011,1330000
"171",1," 146 WEST 16TH STREET, 1A                  ",10011,549855
"172",1," 146 WEST 16TH STREET, 2A                  ",10011,490000
"173",1," 148 WEST 16TH, 7                          ",10011,440000
"174",1," 520 W 23RD ST, 15G                        ",10011,799000
"175",1," 520 WEST 23RD STREET, 12G                 ",10011,630000
"176",1," 520 WEST 23RD STREET, 4G                  ",10011,675000
"177",1," 453 WEST 19 STREET, 5B                    ",10011,555000
"178",1," 410 W 23 ST, 2D 3D                        ",10011,1125000
"179",1," 433 WEST 24TH STREET, B                   ",10011,370000
"180",1," 429 WEST 24TH STREET, 4B                  ",10011,455000
"181",1," 429 WEST 24TH STREET, 4F                  ",10011,360000
"182",1," 425 WEST 24TH STREET, 4D                  ",10011,410000
"183",1," 331 WEST 14TH STREET, 5-A                 ",10014,300000
"185",1," 319 WEST 18TH STREET, 5D                  ",10011,550000
"186",1," 319 WEST 18TH STREET, 2B                  ",10011,485000
"187",1," 319 WEST 18TH STREET, 4D                  ",10011,494000
"188",1," 320 WEST 19TH, 4F                         ",10011,425000
"189",1," 365 WEST 20TH STREET, 12A                 ",10011,520000
"190",1," 365 WEST 20TH STREET, 4A                  ",10011,520000
"191",1," 365 WEST 20TH STREET, 16B                 ",10011,630000
"192",1," 363 WEST 20TH   STREET, 3B                ",10011,595000
"193",1," 365 WEST 20TH STREET, 5C                  ",10011,650000
"194",1," 333 WEST 22ND STREET, 4A                  ",10011,475000
"195",1," 368 WEST 23RD STREET, 3F                  ",10011,652500
"201",1," 323 WEST 23RD   STREET, 7C                ",10011,1070000
"265",1," 250 WEST 15 STREET, A                     ",10011,580000
"266",1," 250 WEST 15TH STREET, 2I                  ",10011,536000
"267",1," 250 WEST 15TH STREET, 5F                  ",10011,520000
"268",1," 250 WEST 15TH STREET, 3I                  ",10011,515000
"269",1," 250 WEST 15TH STREET, 1E                  ",10011,442500
"270",1," 250 WEST 16TH STREET, 2G                  ",10011,675000
"271",1," 250 WEST 16TH STREET, 3G                  ",10011,180000
"272",1," 250 WEST 16TH STREET, 1H                  ",10011,720000
"274",1," 250 WEST 16TH STREET, 4D                  ",10011,535000
"275",1," 250 WEST 16TH STREET, 3E                  ",10011,530000
"276",1," 253 WEST 16TH STREET, 6I                  ",10011,465000
"279",1," 201 WEST 16TH ST, 16-F                    ",10011,385000
"280",1," 201 WEST 16TH STREET, 7E                  ",10011,385000
"281",1," 201 WEST 16TH STREET, 14D                 ",10011,382500
"282",1," 201 WEST 16TH STREET, 6G                  ",10011,390000
"283",1," 201 WEST 16TH STREET, 6F                  ",10011,385000
"284",1," 201 WEST 16TH STREET, 2D                  ",10011,418215
"285",1," 210 WEST 21ST STREET, 1 FE                ",10011,687500
"286",1," 210 WEST 21ST STREET, 3FW                 ",10011,749000
"287",1," 234 WEST 21 STREET                        ",10011,136890
"288",1," 234 WEST 21ST STREET, STORA               ",10011,136890
"289",1," 234 WEST 21ST STREET, 43                  ",10011,890750
"290",1," 234 WEST 21ST STREET, 74                  ",10011,795000
"291",1," 223 WEST 21 STREET, 3L                    ",10011,602000
"292",1," 221 WEST 21ST STREET, 4B                  ",10011,419000
"293",1," 201 WEST 21ST STREET, 7D                  ",10011,320000
"294",1," 201 WEST 21ST STREET, 2B                  ",10011,480000
"295",1," 201 WEST 21 STREET, 10B                   ",10011,410000
"296",1," 240 WEST 23RD   STREET, PH7B              ",10011,1741000
"298",1," 250 WEST 24TH STREET, 2DE                 ",10011,370000
"299",1," 255 WEST 23RD STREET, 5-FW                ",10011,395000
"300",1," 250 WEST 24TH STREET, 4DW                 ",10011,410000
"301",1," 255 WEST 23RD STREET, 3HW                 ",10011,882000
"302",1," 255 WEST 23RD STREET, 5GW                 ",10011,655000
"303",1," 250 WEST 24TH STREET, 5CE                 ",10011,748500
"304",1," 250 WEST 24TH STREET, 1CW                 ",10011,650000
"305",1," 254 WEST 25TH   STREET, 1B                ",10001,318750
"306",1," 225 WEST 25TH STREET, 5C                  ",10001,615000
"307",1," 233 WEST 26TH STREET, 2E                  ",10001,1925000
"308",1," 250 WEST 27TH STREET, 6B                  ",10001,1135000
"309",1," 250 WEST 27TH STREET, 5B                  ",10001,775000
"310",1," 77 SEVENTH AVENUE, 16S                    ",10011,805000
"312",1," 77 SEVENTH AVENUE, 7B                     ",10011,499000
"313",1," 77 SEVENTH AVENUE, 17C                    ",10011,490000
"314",1," 77 SEVENTH AVENUE, 2E                     ",10011,615000
"315",1," 77 SEVENTH AVENUE, 9-T                    ",10011,470000
"316",1," 77 SEVENTH AVENUE, 6C                     ",10011,455000
"317",1," 100 WEST 15TH STREET, 4F                  ",10011,370000
"318",1," 100 WEST 15TH STREET, 3C                  ",10011,398000
"319",1," 100 WEST 15TH STREET, 2D                  ",10011,450000
"320",1," 100 WEST 15TH STREET, 4A                  ",10011,401100
"321",1," 154 WEST 15TH STREET, 1B                  ",10011,880000
"322",1," 161 WEST 15TH STREET, 6E                  ",10011,920000
"323",1," 161 WEST 15TH STREET, 2A                  ",10011,1285000
"325",1," 161 WEST 15TH STREET, 6F                  ",10011,4540
"326",1," 161 WEST 15TH STREET, 6F                  ",10011,908000
"327",1," 155 WEST 15TH STREET, 1H                  ",10011,980000
"328",1," 155 WEST 15TH STREET, 5A6AB               ",10011,2675000
"329",1," 155 WEST 15TH STREET, 6E                  ",10011,1675000
"330",1," 147 WEST 15TH STREET, 2N S                ",10011,5000000
"331",1," 130 WEST 16TH STREET, 23                  ",10011,600000
"332",1," 130 WEST 16TH STREET, 45                  ",10011,617500
"333",1," 135 WEST 17TH STREET, 6C                  ",10011,1445000
"334",1," 135 WEST 17TH ST, 4B                      ",10011,2150000
"335",1," 133 WEST 17TH STREET, PHB                 ",10011,2400000
"336",1," 121 W 17                                  ",10011,870000
"338",1," 154 WEST 18TH STREET, 5A                  ",10011,1200000
"340",1," 139 WEST 19TH STREET, 2D                  ",10011,925000
"342",1," 165 WEST 20TH, 5B                         ",10011,680000
"343",1," 165 WEST 20TH STREET, 2E                  ",10011,602000
"344",1," 165 WEST 20TH STREET, 4A                  ",10011,392500
"345",1," 155 WEST 20TH STREET, 5BC                 ",10011,1050000
"346",1," 155 WEST 20TH STREET, 4G                  ",10011,650000
"349",1," 155 WEST 20TH STREET, 1A                  ",10011,520000
"350",1," 147 WEST 22ND STREET, 7N                  ",10011,940000
"351",1," 148 WEST 23RD STREET, 11H                 ",10011,579000
"352",1," 148 WEST 23RD STREET, 7A                  ",10011,725000
"354",1," 101 WEST 23RD STREET, 3Q                  ",10011,392750
"355",1," 107 WEST 25TH   STREET, 2D                ",10001,622500
"356",1," 107 WEST 25TH   STREET, 5B                ",10001,975000
"358",1," 520 WEST 19 STREET, 3B                    ",10011,2100000
"359",1," 100 11 AVENUE                             ",10011,4266467
"360",1," 100 11 AVENUE                             ",10011,4400000
"361",1," 100 11 AVENUE                             ",10011,3848985
"362",1," 100 11 AVENUE                             ",10011,4500000
"363",1," 100 11 AVENUE                             ",10011,3871895
"364",1," 100 11 AVENUE                             ",10011,5091250
"365",1," 100 11 AVENUE                             ",10011,19400000
"366",1," 100 11 AVENUE                             ",10011,16495650
"367",1," 519 WEST 23 STREET, R2                    ",10011,1400000
"368",1," 519 WEST 23 STREET, R5                    ",10011,1585000
"369",1," 519 WEST 23 STREET, R5                    ",10011,2087500
"370",1," 555 WEST 23 STREET, N3K                   ",10011,668000
"371",1," 555 WEST 23 STREET, N3N                   ",10011,687000
"374",1," 555 WEST 23 STREET, S4C                   ",10011,187500
"375",1," 555 WEST 23 STREET, S4E                   ",10011,680000
"376",1," 555 WEST 23 STREET, S5B                   ",10011,620000
"377",1," 555 WEST 23 STREET, N6R                   ",10011,572500
"378",1," 555 WEST 23 STREET, N8A                   ",10011,799000
"379",1," 555 WEST 23 STREET, S8E                   ",10011,708000
"380",1," 555 WEST 23 STREET, N9F                   ",10011,1125000
"381",1," 555 WEST 23 STREET, N9P                   ",10011,70000
"382",1," 555 WEST 23 STREET, N11H                  ",10011,1375000
"383",1," 555 WEST 23 STREET, S11H                  ",10011,745000
"385",1," 555 WEST 23 STREET, S12F                  ",10011,785000
"386",1," 555 WEST 23 STREET, S12F                  ",10011,750000
"387",1," 555 WEST 23 STREET, S12G                  ",10011,790000
"388",1," 555 WEST 23 STREET, S12G                  ",10011,750000
"389",1," 555 WEST 23 STREET, S15A                  ",10011,1075000
"391",1," 555 WEST 23 STREET, PHK                   ",10011,725000
"392",1," 231 10 AVENUE, 2B                         ",10011,120000
"393",1," 231 10 AVENUE, 10A                        ",10011,1545000
"394",1," 200 11 AVENUE,    3N                      ",10011,5040337
"395",1," 200 11 AVENUE,   PH3                      ",10011,11847875
"397",1," 200 11 AVENUE,   PH4                      ",10011,18029375
"399",1," 450 WEST 17 STREET,  1008                 ",10011,987702
"400",1," 450 WEST 17 STREET,  1012                 ",10011,735000
"402",1," 450 WEST 17 STREET,  1014                 ",10011,722957
"405",1," 450 WEST 17 STREET,  1103                 ",10011,1347500
"406",1," 450 WEST 17 STREET,  1104                 ",10011,810000
"407",1," 450 WEST 17 STREET,  1110                 ",10011,755000
"408",1," 450 WEST 17 STREET,  1112                 ",10011,750000
"411",1," 450 WEST 17 STREET,  1116                 ",10011,725000
"413",1," 450 WEST 17 STREET,  1202                 ",10011,1045000
"415",1," 450 WEST 17 STREET,  1208                 ",10011,1186261
"416",1," 450 WEST 17 STREET,  1212                 ",10011,795000
"417",1," 450 WEST 17 STREET, 12167                 ",10011,3446776
"419",1," 450 WEST 17 STREET,  1221                 ",10011,459595
"420",1," 450 WEST 17 STREET,  1402                 ",10011,875695
"424",1," 450 WEST 17 STREET,  1602                 ",10011,896060
"426",1," 450 WEST 17 STREET,  1604                 ",10011,1645000
"428",1," 450 WEST 17 STREET,  1609                 ",10011,2525000
"429",1," 450 WEST 17 STREET,  1701                 ",10011,585000
"430",1," 450 WEST 17 STREET,  1704                 ",10011,1598652
"431",1," 450 WEST 17 STREET,  1708                 ",10011,1750000
"432",1," 450 WEST 17 STREET,  1710                 ",10011,1030000
"433",1," 450 WEST 17 STREET,  1803                 ",10011,993506
"434",1," 450 WEST 17 STREET,  1805                 ",10011,1140440
"435",1," 450 WEST 17 STREET,  1805                 ",10011,11200
"436",1," 450 WEST 17 STREET,  1809                 ",10011,2513702
"437",1," 450 WEST 17 STREET,  1811                 ",10011,809508
"440",1," 450 WEST 17 STREET,  1902                 ",10011,941881
"441",1," 450 WEST 17 STREET,  1903                 ",10011,1535000
"443",1," 450 WEST 17 STREET,  1904                 ",10011,1608835
"444",1," 450 WEST 17 STREET,  1908                 ",10011,1595139
"446",1," 450 WEST 17 STREET,  2002                 ",10011,913624
"447",1," 450 WEST 17 STREET,  2005                 ",10011,1250000
"448",1," 450 WEST 17 STREET,  2008                 ",10011,1970313
"449",1," 450 WEST 17 STREET,  2009                 ",10011,2698362
"450",1," 450 WEST 17 STREET,  2011                 ",10011,845147
"451",1," 450 WEST 17 STREET,  2102                 ",10011,972428
"453",1," 450 WEST 17 STREET,  2103                 ",10011,1374637
"454",1," 450 WEST 17 STREET,  2104                 ",10011,1715512
"456",1," 450 WEST 17 STREET,  2107                 ",10011,2950000
"458",1," 450 WEST 17 STREET,  2108                 ",10011,2265606
"459",1," 450 WEST 17 STREET,  2201                 ",10011,977520
"460",1," 450 WEST 17 STREET,  2202                 ",10011,946972
"461",1," 450 WEST 17 STREET,  2203                 ",10011,1491736
"462",1," 450 WEST 17 STREET,  2204                 ",10011,1659747
"463",1," 450 WEST 17 STREET,  2205                 ",10011,1176078
"464",1," 450 WEST 17 STREET,  2206                 ",10011,1634291
"465",1," 450 WEST 17 STREET,  2207                 ",10011,3054750
"467",1," 450 WEST 17 STREET,  2208                 ",10011,2291062
"468",1," 450 WEST 17 STREET,  2301                 ",10011,987702
"469",1," 450 WEST 17 STREET,  2302                 ",10011,982611
"471",1," 450 WEST 17 STREET,  2303                 ",10011,1501918
"472",1," 450 WEST 17 STREET,  2304                 ",10011,1750000
"474",1," 450 WEST 17 STREET,  2305                 ",10011,1260000
"476",1," 450 WEST 17 STREET,  2306                 ",10011,1644473
"477",1," 450 WEST 17 STREET,  2307                 ",10011,3182031
"478",1," 450 WEST 17 STREET,  2308                 ",10011,2316518
"479",1," 450 WEST 17 STREET,  2401                 ",10011,967948
"480",1," 450 WEST 17 STREET,  2402                 ",10011,939381
"481",1," 450 WEST 17 STREET,  2403                 ",10011,1557000
"482",1," 450 WEST 17 STREET,  2404                 ",10011,1720842
"483",1," 450 WEST 17 STREET,  2405                 ",10011,1293177
"484",1," 450 WEST 17 STREET,  2406                 ",10011,1663905
"485",1," 450 WEST 17 STREET,  2407                 ",10011,3080206
"486",1," 450 WEST 17 STREET,  2408                 ",10011,2341975
"487",1," 450 WEST 17 STREET,  2501                 ",10011,1145531
"488",1," 450 WEST 17 STREET,  2502                 ",10011,1175000
"489",1," 450 WEST 17 STREET,  2503                 ",10011,1532466
"490",1," 450 WEST 17 STREET,  2504                 ",10011,1827758
"491",1," 450 WEST 17 STREET,  2505                 ",10011,1349181
"492",1," 450 WEST 17 STREET,  2506                 ",10011,1654401
"494",1," 450 WEST 17 STREET,  2508                 ",10011,2438708
"495",1," 450 WEST 17 STREET,  PH01                 ",10011,1225000
"497",1," 450 WEST 17 STREET,  PH02                 ",10011,1069162
"498",1," 450 WEST 17 STREET,  PH03                 ",10011,1654656
"499",1," 450 WEST 17 STREET,  PH04                 ",10011,1373619
"500",1," 450 WEST 17 STREET,  PH05                 ",10011,1318633
"502",1," 450 WEST 17 STREET,  PH07                 ",10011,5880393
"503",1," 452 WEST 19 STREET, 1D                    ",10011,1456000
"504",1," 452 WEST 19 STREET, 3A                    ",10011,820000
"505",1," 444 WEST 19 STREET, 201                   ",10011,1475000
"506",1," 444 WEST 19 STREET, 602                   ",10011,825000
"507",1," 444 WEST 19 STREET, 903                   ",10011,1350000
"508",1," 447 WEST 18 STREET, 2B                    ",10011,878240
"509",1," 447 WEST 18 STREET, 6A                    ",10011,1901581
"510",1," 447 WEST 18 STREET, 6D                    ",10011,1500000
"511",1," 447 WEST 18 STREET, 7B                    ",10011,1094618
"512",1," 447 WEST 18 STREET, 7C                    ",10011,1761317
"513",1," 447 WEST 18 STREET, 7E                    ",10011,1476462
"514",1," 447 WEST 18 STREET, 8D                    ",10011,1500000
"515",1," 447 WEST 18 STREET, P910A                 ",10011,7331400
"516",1," 447 WEST 18 STREET, PH10B                 ",10011,3054750
"517",1," 459 WEST 18 STREET, 2                     ",10011,1883762
"518",1," 459 WEST 18 STREET, 3                     ",10011,1807393
"519",1," 459 WEST 18 STREET, 5                     ",10011,2575000
"520",1," 459 WEST 18 STREET, 9                     ",10011,3182031
"521",1," 445 WEST 19 STREET, 7B                    ",10011,620000
"522",1," 445 WEST 19 STREET, 8B                    ",10011,630000
"524",1," 445 WEST 19 STREET, 8C                    ",10011,551000
"526",1," 445 WEST 19 STREET, 2F                    ",10011,530000
"528",1," 420 WEST 23 STREET, 11A                   ",10011,900000
"529",1," 468 WEST 23 STREET, 3B                    ",10011,730000
"530",1," 420 WEST 25 STREET, 2G                    ",10001,1298268
"531",1," 420 WEST 25 STREET, 3K                    ",10001,712775
"532",1," 420 WEST 25 STREET, 4A                    ",10001,1069162
"533",1," 420 WEST 25 STREET, 6A                    ",10001,1110000
"534",1," 420 WEST 25 STREET, 9B                    ",10001,2087412
"536",1," 263 9 AVENUE, PHE                         ",10001,2150000
"537",1," 263 9 AVENUE, STG4                        ",10001,20000
"539",1," 66 9 AVENUE, 3W                           ",10011,2150000
"540",1," 66 9 AVENUE, 9E                           ",10011,2615000
"541",1," 305 WEST 18 STREET, 1C                    ",10011,395000
"542",1," 305 WEST 18 STREET, 3F                    ",10011,630000
"545",1," 344 WEST 23 STREET, 3C                    ",10011,998000
"546",1," 344 WEST 23 STREET, 4A                    ",10011,941000
"547",1," 344 WEST 23 STREET, 7D                    ",10011,825000
"548",1," 312 WEST 23 STREET, 3A                    ",10011,370000
"549",1," 312 WEST 23 STREET, 3E                    ",10011,400000
"551",1," 270 WEST 17 STREET, 3F                    ",10011,625000
"553",1," 270 WEST 17 STREET, 3G                    ",10011,985000
"556",1," 270 WEST 17 STREET, 12B                   ",10011,1187500
"559",1," 270 WEST 17 STREET, 10E                   ",10011,715000
"561",1," 270 WEST 17 STREET, 9H                    ",10011,760000
"562",1," 270 WEST 17 STREET, 11H                   ",10011,747500
"563",1," 270 WEST 17 STREET, 20A                   ",10011,1100000
"564",1," 246 WEST 17 STREET, 1B                    ",10011,998000
"565",1," 246 WEST 17 STREET, 1C                    ",10011,1350000
"566",1," 246 WEST 17 STREET, 2A                    ",10011,4989425
"568",1," 246 WEST 17 STREET, 2E                    ",10011,1221900
"569",1," 246 WEST 17 STREET, 3A                    ",10011,1362318
"570",1," 246 WEST 17 STREET, 4B                    ",10011,1680112
"571",1," 246 WEST 17 STREET, 5B                    ",10011,1575000
"572",1," 246 WEST 17 STREET, 6C                    ",10011,1507010
"573",1," 246 WEST 17 STREET, 7A/8B                 ",10011,4073000
"574",1," 201 WEST 17 STREET, 2D                    ",10011,970000
"575",1," 224 WEST 18 STREET, 1B                    ",10011,940000
"576",1," 224 WEST 18 STREET, 10A                   ",10011,3850000
"577",1," 210 WEST 19 STREET, 1G                    ",10011,920000
"578",1," 140 7 AVENUE, 6A                          ",10011,514000
"579",1," 140 7 AVENUE, 2D                          ",10011,665000
"580",1," 140 7 AVENUE, 6E                          ",10011,600000
"581",1," 270 WEST 19 STREET, 1A                    ",10011,75000
"582",1," 251 WEST 19 STREET, 1C                    ",10011,900000
"583",1," 251 WEST 19 STREET, 3C                    ",10011,1232082
"584",1," 251 WEST 19 STREET, 5B                    ",10011,843111
"585",1," 251 WEST 19 STREET, 6A                    ",10011,1730000
"586",1," 251 WEST 19 STREET, 9C                    ",10011,1850000
"588",1," 241 WEST 19 STREET, 2N                    ",10011,999000
"589",1," 241 WEST 19 STREET, 4N                    ",10011,1196443
"590",1," 241 WEST 19 STREET, 5N                    ",10011,1120075
"591",1," 241 WEST 19 STREET, 6N                    ",10011,1280000
"592",1," 241 WEST 19 STREET, PH1                   ",10011,2550000
"593",1," 241 WEST 19 STREET, PH2                   ",10011,2291062
"594",1," 241 WEST 19 STREET, PH3                   ",10011,2291062
"595",1," 241 WEST 19 STREET, PH4                   ",10011,2291062
"596",1," 200 WEST 24 STREET, 3B                    ",10011,1325000
"597",1," 213 WEST 23 STREET, 8S                    ",10011,3500000
"599",1," 252 7 AVENUE, 3N                          ",10001,1100000
"600",1," 252 7 AVENUE, 3R                          ",10001,2250000
"601",1," 252 7 AVENUE, 5W                          ",10001,1520000
"602",1," 252 7 AVENUE, 5S                          ",10001,1112500
"603",1," 252 7 AVENUE, 7E                          ",10001,1420000
"604",1," 252 7 AVENUE, 7S                          ",10001,945000
"605",1," 252 7 AVENUE, 8O                          ",10001,2200000
"606",1," 252 7 AVENUE, 9U                          ",10001,1875000
"607",1," 252 7 AVENUE, 10G                         ",10001,135000
"608",1," 252 7 AVENUE, 10S                         ",10001,985000
"610",1," 252 7 AVENUE, 11E                         ",10001,1485000
"611",1," 252 7 AVENUE, 11V                         ",10001,1525000
"612",1," 252 7 AVENUE, 14E                         ",10001,1450000
"614",1," 252 7 AVENUE, 16O                         ",10001,1850000
"616",1," 135 WEST 16 STREET, 442                   ",10011,675000
"617",1," 112 WEST 18 STREET, 17-4D                 ",10011,1070000
"619",1," 112 WEST 18 STREET, 18-2C                 ",10011,1115000
"620",1," 112 WEST 18 STREET, 18-2C                 ",10011,1115000
"621",1," 112 WEST 18 STREET, 3A                    ",10011,1400000
"622",1," 151 WEST 17 STREET, 7CD                   ",10011,3800000
"625",1," 144 WEST 18 STREET, 300N                  ",10011,1425000
"626",1," 144 WEST 18 STREET, 400E                  ",10011,2425000
"627",1," 144 WEST 18 STREET, 600W                  ",10011,2180000
"629",1," 100 WEST 18 STREET, 4A                    ",10011,1781937
"640",1," 127 7 AVENUE,    2C                       ",10011,687318
"641",1," 127 7 AVENUE,    4A                       ",10011,1017231
"642",1," 127 7 AVENUE,    4B                       ",10011,799326
