OBJECTID,the_geom,Boro,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
241,POINT (-73.81698799992715 40.583028999618094),QU,Limited Free,TimeWarner,Rockaway Beach,Beach 97 Street  5,40.5830289996,-73.8169879999,1035084.71656,151742.718218,,,Queens,
242,POINT (-73.81400000026773 40.743700000183324),QU,Limited Free,TimeWarner,Kissena Park,Baseball Field at Kissena Blvd and Booth Memorial Ave,40.7437000002,-73.8140000003,1035790.38871,210281.314067,,,Queens,
243,POINT (-73.81359999986259 40.74549999989518),QU,Limited Free,TimeWarner,Kissena Park,Southwest Entrance of Park,40.7454999999,-73.8135999999,1035899.83271,210937.345563,,,Queens,
244,POINT (-73.81170000033276 40.747600000047065),QU,Limited Free,TimeWarner,Kissena Park,Baseball Field at Rose Ave and Browne St,40.7476,-73.8117000003,1036424.66073,211703.567128,,,Queens,
245,POINT (-73.81150000011785 40.74239999972709),QU,Limited Free,TimeWarner,Kissena Park,Baseball Field at Booth Memorial Ave and 156th St,40.7423999997,-73.8115000001,1036484.15405,209809.164421,,,Queens,
246,POINT (-73.81142000026202 40.584421999804384),QU,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  1,40.5844219998,-73.8114200003,1036630.22889,152253.502301,,,Queens,
247,POINT (-73.81116300018759 40.584519999757795),QU,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  2,40.5845199998,-73.8111630002,1036701.53649,152289.359841,,,Queens,
248,POINT (-73.8110340001258 40.58468299984599),QU,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  3,40.5846829998,-73.8110340001,1036737.2395,152348.821993,,,Queens,
249,POINT (-73.81091599951334 40.584577000249574),QU,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  4,40.5845770002,-73.8109159995,1036770.09869,152310.274498,,,Queens,
250,POINT (-73.81073399955517 40.58475700024295),QU,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  6,40.5847570002,-73.8107339996,1036820.50935,152375.96203,,,Queens,
251,POINT (-73.8106689998318 40.58465100033656),QU,Limited Free,TimeWarner,Rockaway Beach,Beach 90 Street  5,40.5846510003,-73.8106689998,1036838.64711,152337.382711,,,Queens,
252,POINT (-73.80909999987347 40.77119999990619),QU,Limited Free,TimeWarner,Bowne Park,Track and Field - Northwest Corner of Park,40.7711999999,-73.8090999999,1037126.33649,220303.357999,,,Queens,
253,POINT (-73.8088000005085 40.76969999977007),QU,Limited Free,TimeWarner,Bowne Park,Track and Field - Southwest Corner of Park,40.7696999998,-73.8088000005,1037210.62438,219757.040522,,,Queens,
254,POINT (-73.80819999946026 40.74189999983959),QU,Limited Free,TimeWarner,Kissena Park,Basketball Court at 160th St and Booth Memorial Ave,40.7418999998,-73.8081999995,1037398.99572,209628.984007,,,Queens,
255,POINT (-73.80749999988794 40.76959999972089),QU,Limited Free,TimeWarner,Bowne Park,Track and Field - South of Park,40.7695999997,-73.8074999999,1037570.79197,219721.395909,,,Queens,
256,POINT (-73.80720000055726 40.750199999670926),QU,Limited Free,TimeWarner,Kissena Park,Northwest Entrance of Park,40.7501999997,-73.8072000006,1037669.44564,212653.540622,,,Queens,
257,POINT (-73.80599999969961 40.76949999961539),QU,Limited Free,TimeWarner,Bowne Park,Track and Field - Southeast Corner of Park,40.7694999996,-73.8059999997,1037986.35872,219685.879248,,,Queens,
258,POINT (-73.80550000033605 40.77050000013028),QU,Limited Free,TimeWarner,Bowne Park,Playground,40.7705000001,-73.8055000003,1038124.04513,220050.518938,,,Queens,
259,POINT (-73.80509999944586 40.74999999980227),QU,Limited Free,TimeWarner,Kissena Park,Track and Field - North of Lake,40.7499999998,-73.8050999994,1038251.45793,212581.962025,,,Queens,
260,POINT (-73.80420000004946 40.74379999976616),QU,Limited Free,TimeWarner,Kissena Park,Golf Course near 164th St and Booth Memorial Ave,40.7437999998,-73.8042,1038505.87179,210323.665032,,,Queens,
261,POINT (-73.80340000019683 40.74589999967828),QU,Limited Free,TimeWarner,Kissena Park,Track and Field - Northwest Corner of Golf Course,40.7458999997,-73.8034000002,1038725.83297,211089.256677,,,Queens,
