OBJECTID,the_geom,Boro,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
20,POINT (-74.10339999941979 40.64549999991016),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,North Entrance of Randall Garden,40.6454999999,-74.1033999994,955555.731261,174466.369949,,,Staten Island,
21,POINT (-74.10290000005486 40.645400000030676),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,North Entrance of Randall Garden,40.6454,-74.1029000001,955694.441942,174429.773894,,,Staten Island,
22,POINT (-74.10229999941437 40.645299999626666),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Snug Harbor Dock,40.6452999996,-74.1022999994,955860.904207,174393.146014,,,Staten Island,
23,POINT (-74.10169999948405 40.64509999980328),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Snug Harbor Dock,40.6450999998,-74.1016999995,956027.324478,174320.086777,,,Staten Island,
24,POINT (-74.10109999960952 40.644900000450264),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Neptune Fountain,40.6449000005,-74.1010999996,956193.745733,174247.028852,,,Staten Island,
25,POINT (-74.10029999958434 40.64469999967307),SI,Limited Free,TimeWarner,Snug Harbor Cultural Center,Neptune Fountain,40.6446999997,-74.1002999996,956415.670158,174173.907936,,,Staten Island,
26,POINT (-74.09079999991187 40.568400000006555),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Greeley Avenue Baseball Diamond,40.5684,-74.0907999999,959023.206938,146372.982566,,,Staten Island,
27,POINT (-74.08950000054247 40.56940000004593),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Midland Beach Veterans Memorial,40.5694,-74.0895000005,959384.755427,146736.935251,,,Staten Island,
28,POINT (-74.0884999997869 40.57020000001418),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Midland Avenue Baseball Diamond,40.5702,-74.0884999998,959662.873966,147028.11249,,,Staten Island,
29,POINT (-74.08729999956151 40.57130000023331),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near Mapleton Avenue Baseball Diamond,40.5713000002,-74.0872999996,959996.658075,147428.534917,,,Staten Island,
30,POINT (-74.0860000000542 40.572299999944995),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,Near the Hunter Avenue Parking Lot,40.5722999999,-74.0860000001,960358.176381,147792.502037,,,Staten Island,
31,POINT (-74.08440000041436 40.573300000307526),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Jefferson Avenue,40.5733000003,-74.0844000004,960803.026213,148156.394354,,,Staten Island,
32,POINT (-74.08169999982746 40.57470000000106),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Beach Near the Soccer Field,40.5747,-74.0816999998,961553.582783,148665.737495,,,Staten Island,
33,POINT (-74.08069999952995 40.575700000239365),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Beach Near the Soccer Field,40.5757000002,-74.0806999995,961831.72035,149029.804681,,,Staten Island,
34,POINT (-74.08069999952995 40.575700000239365),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,On the Boardwalk Near the Soccer Field,40.5757000002,-74.0806999995,961831.72035,149029.804681,,,Staten Island,
35,POINT (-74.07959999979495 40.576500000439744),BK,Limited Free,Cablevision,Manhattan Beach Park,Park seating area,40.5765000004,-74.0795999998,962137.562586,149320.984873,,,Brooklyn,
36,POINT (-74.07859999951525 40.57709999980001),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk and Beach,On the Boardwalk Near Naughton Avenue,40.5770999998,-74.0785999995,962415.553171,149539.328596,,,Staten Island,
37,POINT (-74.07790000004029 40.57769999990479),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,On the Boardwalk near Buel Avenue,40.5776999999,-74.0779,962610.201732,149757.749747,,,Staten Island,
38,POINT (-74.07729999973017 40.62710000039072),SI,Limited Free,TimeWarner,Tappen Park,Behind Edgewater Village Hall,40.6271000004,-74.0772999997,962792.75747,167755.285602,,,Staten Island,
39,POINT (-74.07679999999982 40.5785000001204),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,On the Beach Near the Seaview Avenue Entrance,40.5785000001,-74.0768,962916.025596,150048.939782,,,Staten Island,
40,POINT (-74.07639999959414 40.57970000035412),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,South Parking Lot Near Seaview Avenue,40.5797000004,-74.0763999996,963027.521436,150486.032411,,,Staten Island,
41,POINT (-74.07620000001391 40.62659999958121),SI,Limited Free,TimeWarner,Tappen Park,Fountain,40.6265999996,-74.0762,963097.941242,167572.854537,,,Staten Island,
42,POINT (-74.07579999994975 40.58000000042671),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,North Parking Lot Near Seaview Avenue,40.5800000004,-74.0757999999,963194.284554,150595.18508,,,Staten Island,
43,POINT (-74.07580000000348 40.62710000044751),SI,Limited Free,TimeWarner,Tappen Park,Fountain,40.6271000004,-74.0758,963209.133277,167754.921758,,,Staten Island,
44,POINT (-74.06749999991041 40.5882000000631),SI,Limited Free,TimeWarner,Franklin D. Roosevelt Boardwalk And Beach,Near South Fin Grill,40.5882000001,-74.0674999999,965502.159203,153580.763755,,,Staten Island,
45,POINT (-74.01789999976982 40.62500000011471),BK,Limited Free,TimeWarner,McKinley Park,Near the Baseball Field at 77th Street,40.6250000001,-74.0178999998,979281.08965,166981.239906,,,Brooklyn,
46,POINT (-74.01730000029302 40.625300000242234),BK,Limited Free,TimeWarner,McKinley Park,Near the Tennis Courts,40.6253000002,-74.0173000003,979447.666745,167090.504452,,,Brooklyn,
47,POINT (-74.01680000049643 40.6266000000948),BK,Limited Free,TimeWarner,McKinley Park,Near the Comfort Station,40.6266000001,-74.0168000005,979586.553278,167564.10193,,,Brooklyn,
48,POINT (-74.01650000028462 40.62590000009953),BK,Limited Free,TimeWarner,McKinley Park,Near the Basketball Courts at Bay Ridge Parkway,40.6259000001,-74.0165000003,979669.78113,167309.057492,,,Brooklyn,
49,POINT (-74.0158000005852 40.626400000433414),BK,Limited Free,TimeWarner,McKinley Park,Near the 73rd Street Entrance,40.6264000004,-74.0158000006,979864.126214,167491.185081,,,Brooklyn,
51,POINT (-74.00869999956802 40.67720000019498),BK,Limited Free,TimeWarner,Coffey Park,Near the Baseball Field,40.6772000002,-74.0086999996,981836.831914,185998.752724,,,Brooklyn,
52,POINT (-74.00869999956802 40.67720000019498),BK,Limited Free,TimeWarner,Coffey Park,Near the Playground,40.6772000002,-74.0086999996,981836.831914,185998.752724,,,Brooklyn,
53,POINT (-74.00869999956802 40.67720000019498),BK,Limited Free,TimeWarner,Coffey Park,Between the Basketball Court and Comfort Station,40.6772000002,-74.0086999996,981836.831914,185998.752724,,,Brooklyn,
54,POINT (-74.00869999956802 40.67720000019498),BK,Limited Free,TimeWarner,Coffey Park,Between the Basketball Court and Comfort Station,40.6772000002,-74.0086999996,981836.831914,185998.752724,,,Brooklyn,
55,POINT (-73.78691254324045 40.67689173294203),QU,Limited Free,TimeWarner,Baisley Pond Park,Near gazebo,40.6768917329,-73.7869125432,1043355.48808,185958.211795,,,Queens,
56,POINT (-74.00819999948651 40.67329999978824),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Near the Columbia Street and Bay Street Intersection,40.6732999998,-74.0081999995,981975.386755,184577.8576,,,Brooklyn,
57,POINT (-74.00690000010826 40.673000000150665),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Near the Hicks Street and Bay Street Intersection,40.6730000002,-74.0069000001,982335.987412,184468.528094,,,Brooklyn,
59,POINT (-74.0056000000465 40.729699999864145),MN,Limited Free,TimeWarner,Tony Dapolto Recreation Center,Near the Pool,40.7296999999,-74.0056,982697.919103,205126.002856,,,New York,
60,POINT (-74.00549999941796 40.67260000013773),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Near the Bay Street Baseball Diamonds,40.6726000001,-74.0054999994,982724.328827,184322.7692,,,Brooklyn,
61,POINT (-74.0054999997407 40.729599999608425),MN,Limited Free,TimeWarner,Tony Dapolto Recreation Center,Computer Resource Center,40.7295999996,-74.0054999997,982725.63263,205089.567889,,,New York,
62,POINT (-74.00549299983696 40.729566000341705),MN,Limited Free,TimeWarner,Tony Dapolto Recreation Center,Afterschool Room,40.7295660003,-74.0054929998,982727.571931,205077.180775,,,New York,
63,POINT (-74.00549299983696 40.729566000341705),MN,Limited Free,TimeWarner,Tony Dapolto Recreation Center,Basketball Court,40.7295660003,-74.0054929998,982727.571931,205077.180775,,,New York,
64,POINT (-74.00549299983696 40.729566000341705),MN,Limited Free,TimeWarner,Tony Dapolto Recreation Center,Lobby,40.7295660003,-74.0054929998,982727.571931,205077.180775,,,New York,
65,POINT (-74.00489999994976 40.67300000005581),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Around Henry Street,40.6730000001,-74.0048999999,982890.773704,184468.490693,,,Brooklyn,
66,POINT (-74.00410000014637 40.67220000017989),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Near Red Hook Recreation Center,40.6722000002,-74.0041000001,983112.674507,184177.016538,,,Brooklyn,
67,POINT (-74.00369999958477 40.671199999662825),BK,Limited Free,TimeWarner,Red Hook Recreation Area,Between the Soccer Fields on Clinton Street,40.6711999997,-74.0036999996,983223.617855,183812.682949,,,Brooklyn,
69,POINT (-74.00194500014669 40.74805700044861),MN,Limited Free,TimeWarner,Chelsea Recreation Center,Basketball Court,40.7480570004,-74.0019450001,983711.07751,211813.995385,,,New York,
70,POINT (-74.00194500014669 40.74805700044861),MN,Limited Free,TimeWarner,Chelsea Recreation Center,Weight Room,40.7480570004,-74.0019450001,983711.07751,211813.995385,,,New York,
71,POINT (-74.00194500014669 40.74805700044861),MN,Limited Free,TimeWarner,Chelsea Recreation Center,Cardio Room,40.7480570004,-74.0019450001,983711.07751,211813.995385,,,New York,
72,POINT (-74.00194500014669 40.74805700044861),MN,Limited Free,TimeWarner,Chelsea Recreation Center,Basketball Court,40.7480570004,-74.0019450001,983711.07751,211813.995385,,,New York,
73,POINT (-74.00189999959609 40.748100000371494),MN,Limited Free,TimeWarner,Chelsea Recreation Center,Third Floor,40.7481000004,-74.0018999996,983723.546645,211829.661364,,,New York,
75,POINT (-73.99540000017133 40.68059999984622),BK,Limited Free,TimeWarner,Carroll Park,Track and Field,40.6805999998,-73.9954000002,985525.862922,187237.384105,,,Brooklyn,
76,POINT (-73.99059999943874 40.696599999980876),BK,Limited Free,TimeWarner,Cadman Plaza Park,Track and Field - South Entrance of Brooklyn War Memorial,40.6966,-73.9905999994,986856.572859,193066.757945,,,Brooklyn,
77,POINT (-73.99039999985484 40.73599999973612),MN,Partner Site,Partner,Union Square Park,Entire park,40.7359999997,-73.9903999999,986910.458578,207421.386388,,,New York,
78,POINT (-73.98889999981347 40.74150000029479),MN,Limited Free,TimeWarner,Madison Square Park,Statue - South West of Park,40.7415000003,-73.9888999998,987325.901317,209425.259677,,,New York,
79,POINT (-73.98870000050285 40.74239999977662),MN,Limited Free,TimeWarner,Madison Square Park,Dog Run,40.7423999998,-73.9887000005,987381.280471,209753.165189,,,New York,
80,POINT (-73.98830000006245 40.743100000396325),MN,Limited Free,TimeWarner,Madison Square Park,Benches - West North of Park,40.7431000004,-73.9883000001,987492.08832,210008.212251,,,New York,
81,POINT (-73.98789999969809 40.74109999968384),MN,Limited Free,TimeWarner,Madison Square Park,Bathroom,40.7410999997,-73.9878999997,987603.029699,209279.563446,,,New York,
82,POINT (-73.98740000031546 40.74189999976801),MN,Limited Free,TimeWarner,Madison Square Park,Benches - East of Park,40.7418999998,-73.9874000003,987741.542546,209571.048427,,,New York,
83,POINT (-73.98689999983418 40.7425000004071),MN,Limited Free,TimeWarner,Madison Square Park,Playground,40.7425000004,-73.9868999998,987880.063266,209789.668069,,,New York,
84,POINT (-73.98613600042681 40.57266799958096),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 1,40.5726679996,-73.9861360004,988101.563479,147915.150086,,,Brooklyn,
85,POINT (-73.98593600054636 40.5726649999364),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 2,40.5726649999,-73.9859360005,988157.125704,147914.066099,,,Brooklyn,
86,POINT (-73.98574999992672 40.57267800040087),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 3,40.5726780004,-73.9857499999,988208.797845,147918.81084,,,Brooklyn,
87,POINT (-73.98561700040108 40.57280799976454),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 6,40.5728079998,-73.9856170004,988245.738716,147966.178855,,,Brooklyn,
88,POINT (-73.98560899989067 40.57268499971138),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 4,40.5726849997,-73.9856089999,988247.968698,147921.367265,,,Brooklyn,
89,POINT (-73.98560100047878 40.572694000352826),BK,Limited Free,Cablevision,Steeplechase Park,Stark Ice Rink 5,40.5726940004,-73.9856010005,988250.190479,147924.646786,,,Brooklyn,
90,POINT (-73.98529999991668 40.62329999995198),BK,Limited Free,Cablevision,Gravesend Park,Benches,40.6233,-73.9852999999,988330.717548,166361.719492,,,Brooklyn,
91,POINT (-73.98500000025803 40.78600000006445),MN,Limited Free,TimeWarner,Riverside Park,On the Hudson River Greenway,40.7860000001,-73.9850000003,988403.846995,225638.236765,,,New York,
92,POINT (-73.984799999802 40.57499999991935),BK,Limited Free,Cablevision,Steeplechase Park,Front of MCU Park,40.5749999999,-73.9847999998,988472.570939,148764.817022,,,Brooklyn,
93,POINT (-73.98479999989377 40.753700000186676),MN,Limited Free,TimeWarner,Bryant Park,Southwest Porch,40.7537000002,-73.9847999999,988461.273718,213870.281627,,,New York,
94,POINT (-73.98469999964468 40.62299999982166),BK,Limited Free,Cablevision,Gravesend Park,Benches,40.6229999998,-73.9846999996,988497.296612,166252.450025,,,Brooklyn,
95,POINT (-73.98440000037577 40.624199999832065),BK,Limited Free,Cablevision,Gravesend Park,Playground,40.6241999998,-73.9844000004,988580.498873,166689.6565,,,Brooklyn,
96,POINT (-73.98420000050557 40.75440000030879),MN,Limited Free,TimeWarner,Bryant Park,Witchcraft Express,40.7544000003,-73.9842000005,988627.462034,214125.343781,,,New York,
97,POINT (-73.98399999956165 40.753199999610125),MN,Limited Free,TimeWarner,Bryant Park,Seating area near Bryant Park Grill,40.7531999996,-73.9839999996,988682.953064,213688.154694,,,New York,
98,POINT (-73.98360000014983 40.62379999994013),BK,Limited Free,Cablevision,Gravesend Park,Playground,40.6237999999,-73.9836000001,988802.603088,166543.966503,,,Brooklyn,
99,POINT (-73.98330000006452 40.75379999983928),MN,Partner Site,Partner,Bryant Park,Entire park,40.7537999998,-73.9833000001,988876.852939,213906.790412,,,New York,
100,POINT (-73.98310000030038 40.75429999973936),MN,Limited Free,TimeWarner,Bryant Park,Track and Field - North East of Park,40.7542999997,-73.9831000003,988932.229141,214088.967213,,,New York,
101,POINT (-73.98289999988184 40.62350000043622),BK,Limited Free,Cablevision,Gravesend Park,Playground,40.6235000004,-73.9828999999,988996.942922,166434.705894,,,Brooklyn,
102,POINT (-73.98211200024944 40.5751149997122),BK,Limited Free,Cablevision,Steeplechase Park,3001-3025 W 15th St,40.5751149997,-73.9821120002,989219.290574,148806.855323,,,Brooklyn,
103,POINT (-73.98194099957998 40.57405600033764),BK,Limited Free,Cablevision,Steeplechase Park,3027-3087 W 15th St 2,40.5740560003,-73.9819409996,989266.874141,148421.0454,,,Brooklyn,
104,POINT (-73.98184500018228 40.573602000185076),BK,Limited Free,Cablevision,Steeplechase Park,3027-3087 W 15th St,40.5736020002,-73.9818450002,989293.577499,148255.647436,,,Brooklyn,
105,POINT (-73.9818130004052 40.57322899966027),BK,Limited Free,Cablevision,Steeplechase Park,3089-3099 W 15th St,40.5732289997,-73.9818130004,989302.495461,148119.755976,,,Brooklyn,
106,POINT (-73.98180000030942 40.75269999956923),MN,Limited Free,TimeWarner,Bryant Park,Library Steps,40.7526999996,-73.9818000003,989292.521727,213506.107486,,,New York,
107,POINT (-73.98180000036936 40.71949999992671),MN,Limited Free,TimeWarner,Hamilton Fish Park,Lobby,40.7194999999,-73.9818000004,989295.034846,201410.301954,,,New York,
108,POINT (-73.98180000037456 40.726399999973545),SI,Limited Free,TimeWarner,Tompkinsville Park,Entire triangle,40.7264,-73.9818000004,989294.512537,203924.184721,,,Staten Island,
109,POINT (-73.98149999986182 40.7198000001703),MN,Limited Free,TimeWarner,Hamilton Fish Park,Outside Hamilton Fish Recreation Center,40.7198000002,-73.9814999999,989378.171818,201519.618664,,,New York,
110,POINT (-73.98150000050967 40.71989999997807),MN,Limited Free,TimeWarner,Hamilton Fish Park,Lobby,40.7199,-73.9815000005,989378.163944,201556.051662,,,New York,
112,POINT (-73.98130000034344 40.720099999697084),MN,Limited Free,TimeWarner,Hamilton Fish Park,Outside Hamilton Fish Recreation Center,40.7200999997,-73.9813000003,989433.588046,201628.929469,,,New York,
113,POINT (-73.98039400009905 40.573428999679365),BK,Limited Free,Cablevision,Steeplechase Park,Brooklyn Beach Shop 2,40.5734289997,-73.9803940001,989696.688898,148192.705961,,,Brooklyn,
114,POINT (-73.9803629996107 40.57327199963629),BK,Limited Free,Cablevision,Steeplechase Park,Brooklyn Beach Shop,40.5732719996,-73.9803629996,989705.313881,148135.508897,,,Brooklyn,
115,POINT (-73.98029799949774 40.57324600026871),BK,Limited Free,Cablevision,Steeplechase Park,Ruby's Bar & Grill,40.5732460003,-73.9802979995,989723.373556,148126.04074,,,Brooklyn,
116,POINT (-73.98008300002513 40.573269999995524),BK,Limited Free,Cablevision,Steeplechase Park,Lola Star Sovenir Boutique,40.57327,-73.980083,989783.100142,148134.797941,,,Brooklyn,
117,POINT (-73.97982900002123 40.573286000323186),BK,Limited Free,Cablevision,Steeplechase Park,Nathan's Famous,40.5732860003,-73.979829,989853.662009,148140.643401,,,Brooklyn,
118,POINT (-73.97979900017532 40.57343700041107),BK,Limited Free,Cablevision,Steeplechase Park,Nathan's Famous 2,40.5734370004,-73.9797990002,989861.983515,148195.658383,,,Brooklyn,
119,POINT (-73.97899400029993 40.57341500030225),BK,Limited Free,Cablevision,Steeplechase Park,Familia Pizzeria,40.5734150003,-73.9789940003,990085.620207,148187.695801,,,Brooklyn,
120,POINT (-73.97896699968057 40.57341499986452),BK,Limited Free,Cablevision,Steeplechase Park,Coney Cones,40.5734149999,-73.9789669997,990093.121176,148187.697441,,,Brooklyn,
121,POINT (-73.97884900051028 40.57340300032236),BK,Limited Free,Cablevision,Steeplechase Park,Coney Cones 2,40.5734030003,-73.9788490005,990125.903263,148183.333605,,,Brooklyn,
122,POINT (-73.9785220001246 40.57341899960518),BK,Limited Free,Cablevision,Steeplechase Park,Paul's Daughter,40.5734189996,-73.9785220001,990216.744944,148189.184643,,,Brooklyn,
123,POINT (-73.97827499943244 40.573444000349106),BK,Limited Free,Cablevision,Steeplechase Park,Paul's Daughter 2,40.5734440003,-73.9782749994,990285.361277,148198.309953,,,Brooklyn,
125,POINT (-73.97808700000557 40.574704000127774),BK,Limited Free,Cablevision,Steeplechase Park,3000-3098 W 10th St 2,40.5747040001,-73.978087,990337.474034,148657.372027,,,Brooklyn,
126,POINT (-73.97807599941811 40.574289000336435),BK,Limited Free,Cablevision,Steeplechase Park,3000-3098 W 10th St,40.5742890003,-73.9780759994,990340.567859,148506.178103,,,Brooklyn,
127,POINT (-73.97800100016316 40.57516900009603),BK,Limited Free,Cablevision,Steeplechase Park,3000-3098 W 10th St 3,40.5751690001,-73.9780010002,990361.322411,148826.789011,,,Brooklyn,
128,POINT (-73.97795799967454 40.573522999713774),BK,Limited Free,Cablevision,Steeplechase Park,Aquarium 1,40.5735229997,-73.9779579997,990373.418844,148227.113373,,,Brooklyn,
129,POINT (-73.97775500046133 40.57352300020727),BK,Limited Free,Cablevision,Steeplechase Park,Aquarium 2,40.5735230002,-73.9777550005,990429.813416,148227.127808,,,Brooklyn,
130,POINT (-73.97727200011254 40.57354700009807),BK,Limited Free,Cablevision,Steeplechase Park,Aquarium 3,40.5735470001,-73.9772720001,990563.991953,148235.906006,,,Brooklyn,
131,POINT (-73.97640000056663 40.662800000239926),BK,Limited Free,TimeWarner,Prospect Park,Bandshell near West Dr,40.6628000002,-73.9764000006,990797.478691,180753.186116,,,Brooklyn,
132,POINT (-73.97580000029322 40.66300000000024),BK,Limited Free,TimeWarner,Prospect Park,Bandshell near West Dr,40.663,-73.9758000003,990963.919959,180826.097059,,,Brooklyn,
134,POINT (-73.97549999971129 40.663500000336484),BK,Limited Free,TimeWarner,Prospect Park,Park - East of Bandshell,40.6635000003,-73.9754999997,991047.099583,181008.284359,,,Brooklyn,
138,POINT (-73.96040000044236 40.71500000011233),BK,Limited Free,TimeWarner,Metropolitan Recreation Center,Lobby,40.7150000001,-73.9604000004,995227.849752,199772.771764,,,Brooklyn,
140,POINT (-73.94999999947733 40.74999999998571),MN,Limited Free,TimeWarner,Recreation Center 54,Basketball Court,40.75,-73.9499999995,998103.642884,212525.840418,,,New York,
141,POINT (-73.94700000010523 40.57609999995282),BK,Limited Free,Cablevision,Manhattan Beach Park,Park seating area,40.5761,-73.9470000001,998973.194623,149169.662012,,,Brooklyn,
142,POINT (-73.94649999972145 40.689900000101204),BK,Limited Free,Cablevision,Herbert Von King Park,Multi-purpose room,40.6899000001,-73.9464999997,999086.770839,190630.141755,,,Brooklyn,
144,POINT (-73.94599999977693 40.57620000037025),BK,Limited Free,Cablevision,Manhattan Beach Park,Park seating area,40.5762000004,-73.9459999998,999250.968346,149206.264302,,,Brooklyn,
145,POINT (-73.94550000031184 40.576200000196856),BK,Limited Free,Cablevision,Manhattan Beach Park,Park seating area,40.5762000002,-73.9455000003,999389.866034,149206.350259,,,Brooklyn,
146,POINT (-73.94540000023966 40.57589999971575),BK,Limited Free,Cablevision,Manhattan Beach Park,Pathway to Beach,40.5758999997,-73.9454000002,999417.713747,149097.069966,,,Brooklyn,
147,POINT (-73.94460000049874 40.577700000075616),BK,Limited Free,Cablevision,Manhattan Beach Park,Park seating area,40.5777000001,-73.9446000005,999639.536466,149752.994179,,,Brooklyn,
148,POINT (-73.94459999957878 40.65830000001525),BK,Limited Free,Cablevision,Wingate Park,Bleachers,40.6583,-73.9445999996,999620.965309,179117.688731,,,Brooklyn,
150,POINT (-73.9440999996476 40.65830000034984),BK,Limited Free,Cablevision,Wingate Park,Running Track/Concert Area,40.6583000003,-73.9440999996,999759.692394,179117.776985,,,Brooklyn,
151,POINT (-73.9439999995546 40.57629999976743),BK,Limited Free,Cablevision,Manhattan Beach Park,Beach area,40.5762999998,-73.9439999996,999806.53646,149243.045396,,,Brooklyn,
152,POINT (-73.94300000043629 40.577799999563204),BK,Limited Free,Cablevision,Manhattan Beach Park,Park seating area,40.5777999996,-73.9430000004,1000083.97587,149789.711625,,,Brooklyn,
153,POINT (-73.94230000024352 40.824799999714706),MN,Limited Free,TimeWarner,Jackie Robinson Park,Play area next to pool,40.8247999997,-73.9423000002,1000219.15243,239779.349559,,,New York,
154,POINT (-73.9422000002108 40.57679999976556),BK,Limited Free,Cablevision,Manhattan Beach Park,Park seating area,40.5767999998,-73.9422000002,1000306.44753,149425.532564,,,Brooklyn,
155,POINT (-73.94150000046149 40.57710000006573),BK,Limited Free,Cablevision,Manhattan Beach Park,Park seating area,40.5771000001,-73.9415000005,1000500.82969,149534.959182,,,Brooklyn,
156,POINT (-73.94069999999621 40.57799999993534),BK,Limited Free,Cablevision,Manhattan Beach Park,Park seating area,40.5779999999,-73.9407,1000722.84139,149863.000849,,,Brooklyn,
157,POINT (-73.93920300057256 40.81291300011171),MN,Limited Free,TimeWarner,Hansborough Recreation Center,Game Room,40.8129130001,-73.9392030006,1001079.28916,235449.067537,,,New York,
158,POINT (-73.93920300057256 40.81291300011171),MN,Limited Free,TimeWarner,Hansborough Recreation Center,Dance Room,40.8129130001,-73.9392030006,1001079.28916,235449.067537,,,New York,
159,POINT (-73.93920300057256 40.81291300011171),MN,Limited Free,TimeWarner,Hansborough Recreation Center,Fitness Room,40.8129130001,-73.9392030006,1001079.28916,235449.067537,,,New York,
160,POINT (-73.93920300057256 40.81291300011171),MN,Limited Free,TimeWarner,Hansborough Recreation Center,Computer Resource Room,40.8129130001,-73.9392030006,1001079.28916,235449.067537,,,New York,
161,POINT (-73.93920300057256 40.81291300011171),MN,Limited Free,TimeWarner,Hansborough Recreation Center,Roof Top,40.8129130001,-73.9392030006,1001079.28916,235449.067537,,,New York,
162,POINT (-73.93920300057256 40.81291300011171),MN,Limited Free,TimeWarner,Hansborough Recreation Center,Basketball Court,40.8129130001,-73.9392030006,1001079.28916,235449.067537,,,New York,
163,POINT (-73.93920300057256 40.81291300011171),MN,Limited Free,TimeWarner,Hansborough Recreation Center,Roof Top,40.8129130001,-73.9392030006,1001079.28916,235449.067537,,,New York,
164,POINT (-73.93919999960829 40.812899999847595),MN,Limited Free,TimeWarner,Hansborough Recreation Center,Lobby,40.8128999998,-73.9391999996,1001080.12315,235444.331654,,,New York,
167,POINT (-73.93490000006548 40.67399999983497),BK,Limited Free,Cablevision,St. John's Recreation Center,Inside recreation center,40.6739999998,-73.9349000001,1002308.01997,184839.491263,,,Brooklyn,
168,POINT (-73.93190000037409 40.60099999983861),BK,Limited Free,Cablevision,Marine Park,Exhibit Hall,40.6009999998,-73.9319000004,1003160.86276,158244.256724,,,Brooklyn,
169,POINT (-73.93179999999406 40.60410000032845),BK,Limited Free,Cablevision,Marine Park,Front picnic area of nature center,40.6041000003,-73.9318,1003187.75279,159373.687864,,,Brooklyn,
170,POINT (-73.93067099973086 40.60399300017765),BK,Limited Free,Cablevision,Marine Park,Back Seating area,40.6039930002,-73.9306709997,1003501.28399,159334.951065,,,Brooklyn,
171,POINT (-73.93043000006728 40.60413700023515),BK,Limited Free,Cablevision,Marine Park,Library,40.6041370002,-73.9304300001,1003568.16312,159387.467036,,,Brooklyn,
172,POINT (-73.93010000025025 40.60480000035782),BK,Limited Free,Cablevision,Marine Park,Front picnic area of nature center,40.6048000004,-73.9301000003,1003659.60454,159629.087944,,,Brooklyn,
173,POINT (-73.9284000001978 40.60589999972346),BK,Limited Free,Cablevision,Marine Park,Pathway to nature center,40.6058999997,-73.9284000002,1004131.32735,160030.227234,,,Brooklyn,
176,POINT (-73.91429999996276 40.81149999969573),BX,Limited Free,Cablevision,St. Mary's Park,Gymnasium,40.8114999997,-73.9143,1007973.21993,234940.025576,,,Bronx,
177,POINT (-73.91429999954067 40.81140000029947),BX,Limited Free,Cablevision,St. Mary's Park,Gymnasium,40.8114000003,-73.9142999995,1007973.25569,234903.59225,,,Bronx,
178,POINT (-73.91420000020233 40.81160000035578),BX,Limited Free,Cablevision,St. Mary's Park,Multi-purpose room,40.8116000004,-73.9142000002,1008000.86587,234976.486462,,,Bronx,
179,POINT (-73.9140999999005 40.81150000033882),BX,Limited Free,Cablevision,St. Mary's Park,Classroom 2nd floor,40.8115000003,-73.9140999999,1008028.58334,234940.080038,,,Bronx,
180,POINT (-73.91399999987051 40.81149999962977),BX,Limited Free,Cablevision,St. Mary's Park,Lobby,40.8114999996,-73.9139999999,1008056.26504,234940.106941,,,Bronx,
181,POINT (-73.91339999943168 40.812799999974345),BX,Limited Free,Cablevision,St. Mary's Park,Playground area,40.8128,-73.9133999994,1008221.88708,235413.906847,,,Bronx,
182,POINT (-73.91339999968552 40.812900000249236),BX,Limited Free,Cablevision,St. Mary's Park,Basketball courts,40.8129000002,-73.9133999997,1008221.85099,235450.340501,,,Bronx,
