num,Name,Location,YearRound,Handicap,Borough,Lat,Lon
42,Battery Park Comfort Station,"Battery Place, State & Whitehall streets",Yes,No,Manhattan,40.7035905,-74.0144071
43,Bay Terrace Playground (PS 169),23 Avenue & 212 Street,Yes,No,Queens,40.7825,-73.7777777
44,Bayside Fields,"204 Street & 29 Avenue, Clearview Expressway",Yes,Yes,Queens,40.8068898,-73.7942466
45,Bayside Playground (JHS 180),Beach Channel Drive & Seaside Avenue,No,No,Queens,40.5897085,-73.8148117
46,Bayview Playground,Seaview Avenue & East 99 Street,Yes,No,Brooklyn,40.635361,-73.8874068
47,Bedford Playground,"Bedford Avenue & South 9 Street, Division Avenue",Yes,No,Brooklyn,40.6536822,-73.9561495
49,Bellaire Playground,"89 Avenue, 207 & 208 streets",Yes,No,Queens,40.7213889,-73.7577777
50,Belmont Playground,"Crotona Avenue, East 181 Street",Yes,Yes,Bronx,40.8502778,-73.8877777
51,Bendheim Playground,100th Street and Fifth Ave,No,Yes,Manhattan,40.7902744,-73.9544034800503
52,Bennett Park,"West 185 Street, Ft Washington Avenue",Yes,No,Manhattan,40.8527302,-73.9385173
54,Bensonhurst Park,"Gravesend Bay, 21 & Cropsey avenues, Bay Parkway",Yes,No,Brooklyn,40.59750815,-74.0005503321721
55,Betsy Head Playground,"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",Yes,No,Brooklyn,40.6627297,-73.9133697357981
56,Betsy Head Playground (Administration Building),"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",Yes,No,Brooklyn,40.6627297,-73.9133697357981
57,Big Bush Park,"61 Street, north and south of Brooklyn-Queens Expressway",Yes,No,Queens,40.6983224,-73.9829246
59,Bill Brown Memorial Playground,"Bedford Avenue, Avenue X to Avenue Y, E 24 Street",Yes,No,Brooklyn,40.59255745,-73.9457479956403
60,Bleecker Playground,Hudson & West 11 streets,Yes,No,Manhattan,42.2528649,-73.790959
61,Blood Root Valley (Greenbelt Nature Center),"Rockland, Manor and Brielle avenues, Forest Hill Road",Yes,Yes,Staten Island,40.5877007,-74.13353860000001
62,Blood Root Valley (Park House),"Rockland, Manor and Brielle avenues, Forest Hill Road",Yes,Yes,Staten Island,40.5877007,-74.13353860000001
63,Bloomingdale Park,"Richmond Pkwy, Bloomingdale Rd., Lenevar Ave",No,Yes,Staten Island,40.532981,-74.2147164998331
64,Bloomingdale Playground,"Amsterdam Avenue, West 104 & West 105 streets",Yes,No,Manhattan,40.7987854,-73.9658493
65,Bowne Park,"159 Street, 29 Avenue, 155 Street, 32 Avenue",Yes,No,Queens,40.77047275,-73.8073466559745
66,Bowne Playground,Union Street and Sanford Avenue,Yes,No,Queens,40.7576513,-73.8251902
67,Breininger Park,Braddock Avenue & 240 Street,Yes,No,Queens,40.728006,-73.7341564
68,Breukelen Playground,Louisiana & Flatlands Avenue,Yes,No,Brooklyn,40.6781784,-73.9441579
69,Brevoort Playground,Ralph Avenue & Chauncy Street,Yes,No,Brooklyn,40.634696,-73.9188247
70,Bridge Park 2,Bridge & Prospect streets,Yes,No,Brooklyn,40.7010818,-73.9860009421422
71,Broadway Malls,"Broadway, Columbus Circle to West 110 Street",Yes,No,Manhattan,40.77235220000001,-73.9715901
72,Bronx Park (Ben Abrams Playground),Lydig Avenue & Bronx Park East,Yes,No,Bronx,40.8543818,-73.8610494
73,Bronx Park (Brady Playground),Bronx Park East between Bronxdale Avenue and Unionport Road,Yes,No,Bronx,40.8370495,-73.8654295
74,Bronx Park (French Charley's Playground),East 204 Street & W/S Bronx Park,Yes,No,Bronx,40.8740125,-73.8833881
75,Bronx Park (Olinville Playground),East 219 Street & Bronx River Parkway,Yes,No,Bronx,40.85862575,-73.8759260447257
78,Bronx Park (Rosewood Playground),Bronx River Parkway & Rosewood Street,Yes,No,Bronx,40.9476645,-73.8345485
79,Bronx Park (Waring Playground),Bronx Park East between Waring Avenure and Thwaites Place,Yes,No,Bronx,40.8370495,-73.8654295
80,Bronx River Parkway (Parque de los Ninos),"Bronx River Parkway, Bronx Park, Westchester/NYC City Line.",Yes,Yes,Bronx,40.864696,-73.871816
82,Brower Park,"Brooklyn, St. Mark's, Kingston avenues, Park Place",Yes,No,Brooklyn,40.6781784,-73.9441579
83,Brower Park (Museum),"Brooklyn, St. Mark's, Kingston avenues, Park Place",Yes,No,Brooklyn,40.6781784,-73.9441579
84,Brownsville Playground,Linden Boulevard & Hegeman Avenue,Yes,No,Brooklyn,40.692642,-73.769417
86,Bushwick Playground & Pool,"Flushing Avenue, Bushwick Avenue & Humboldt Street",No,No,Brooklyn,40.7018957,-73.9369936
87,Bushwick Playground & Pool,Flushing & Bushwick Avenue between Garden & Beaver,Yes,No,Brooklyn,40.7674987,-73.833079
88,Cabbell Park/Cambria Playground,121 Avenue & 220 Street,Yes,No,Queens,40.7282239,-73.7948516
91,Campiz Playground,Hope Street & Metropolitan Avenue,Yes,No,Brooklyn,40.71345835,-73.9543284327052
93,Capt. Rivera Playground,"East 156 Street, Forest Avenue",Yes,Yes,Bronx,40.8178344,-73.906772
94,Capt. Tilly Park,"Highland Avenue, Upland Parkway, Gothic Parkway, 85 Avenue",Yes,No,Queens,40.71244129999999,-73.7988958
95,Captain Mario Fajardo Park,Kissena Boulevard & Booth Memorial Avenue,Yes,No,Queens,40.7413696,-73.8148124
96,Carl Schurz Park,East 84 Street & East End Avenue,Yes,Yes,Manhattan,40.7753294,-73.943459342501
98,Carmansville Playground,"Amsterdam Avenue, West 151 to West 152 streets",Yes,No,Manhattan,40.82918625,-73.9442601664538
99,Carroll Park,Court & Smith Streets,Yes,Yes,Brooklyn,40.6812204,-73.9957215502988
