"","num","Name","Location","YearRound","Handicap","Borough","Lat","Lon","zip"
"84",120,"Central Park (Tennis Courts)","93d Street near the West Drive","Yes","No","Manhattan",40.7874455,-73.9619003691178,"83"
"85",121,"Central Park (The Great Hill)","West Side from 103rd to 107th streets","No","No","Manhattan",40.79686915,-73.9589231124157,"10026"
"86",122,"Central Park (The Metropolitan Museum of Art)","Fifth Avenue at 82nd Street","Yes","No","Manhattan",40.7789422,-73.9623032,"10028"
"87",123,"Central Park (West 61st)","West Drive, Central Park West, & 65th Street Transverse","No","No","Manhattan",40.7692746,-73.9810291,"10023"
"88",125,"Central Park Delacorte Comfort Station","Mid-Park at 80th Street","Yes","Yes","Manhattan",40.7830603,-73.9712488,"10024"
"89",126,"Century Playground","Brighton Beach Avenue & West 2 Street","Yes","No","Brooklyn",40.5775615,-73.961412,"11235"
"90",127,"Challenge Playground (PS 187) 251 Street Playground","251 Street & 63 Avenue","No","No","Queens",40.7566667,-73.7280555,"11362"
"91",128,"Chelsea Park","West 27 Street & 9 Avenue","Yes","No","Manhattan",40.7501252,-74.0012230555722,"10001"
"92",129,"Chelsea Recreation Center","South of West 25 Street, 9 to 10 avenues","Yes","Yes","Manhattan",40.74838,-74.002,"10001"
"93",130,"Cherry Tree (Washington) Playground","99 to 100 streets, 3 Avenue","Yes","No","Manhattan",40.7872666,-73.9472102,"10029"
"94",131,"Chester Playground","Chester Street, Sutter Avenue","Yes","No","Brooklyn",40.6688889,-73.9119443,"11212"
"95",132,"Ciccarone Park Playground","Arthur Avenue, East 188 Street","Yes","No","Bronx",40.8370495,-73.8654295,"10460"
"96",133,"City Line Park","Atlantic & Fountain avenues","Yes","No","Brooklyn",40.67962895,-73.8755341651647,"11208"
"97",134,"Claremont Park","Mount Eden Parkway & Morris Avenue","Yes","No","Bronx",40.8427457,-73.908643,"10457"
"98",135,"Claremont Park Playground","E 170 Street & Teller Avenue","Yes","No","Bronx",40.856678,-73.9012832,"10453"
"99",136,"Clark Playground","3 Avenue, East 144 Street, East 146 Street","Yes","Yes","Bronx",40.8138889,-73.9213888,"10455"
