"","Complaint","Lat","Lon"
"605","Animal in a Park",40.8783825,-73.82421268
"617","Animal in a Park",40.70082782,-73.93313915
"623","Animal in a Park",40.84163661,-73.87488238
"626","Animal in a Park",40.86947984,-73.8546149
"642","Animal in a Park",40.77060863,-73.77970074
"650","Animal in a Park",40.63976223,-74.03558877
"651","Animal in a Park",40.82289195,-73.95573215
"659","Animal in a Park",40.7876681,-73.83431801
"663","Animal in a Park",40.77291378,-73.89664865
"667","Animal in a Park",40.59673525,-74.07044031
"669","Animal in a Park",40.62868364,-74.01214076
"670","Animal in a Park",40.72197769,-73.95993714
"671","Animal in a Park",40.74161055,-73.88294442
"678","Animal in a Park",40.88270955,-73.88124583
"681","Animal in a Park",40.60745787,-73.98533128
"683","Animal in a Park",40.74985094,-73.71502456
"685","Animal in a Park",40.71764246,-73.84101429
"686","Animal in a Park",40.76993576,-73.7683018
"687","Animal in a Park",40.60745787,-73.98533128
"688","Animal in a Park",40.67397505,-73.98569879
"690","Animal in a Park",40.83142128,-73.92642398
"691","Animal in a Park",40.56254641,-74.11149083
"692","Animal in a Park",40.63882065,-74.03595939
"693","Animal in a Park",40.72575898,-73.89975598
"703","Animal in a Park",40.67279721,-73.9832837
"707","Animal in a Park",40.71620744,-73.96609832
"718","Animal in a Park",40.67397505,-73.98569879
"720","Animal in a Park",40.74709003,-73.711846
"723","Animal in a Park",40.70251221,-73.85256622
"735","Animal in a Park",40.63827866,-74.03088952
"745","Animal in a Park",40.63827866,-74.03088952
"749","Animal in a Park",40.87302289,-73.91845926
"753","Animal in a Park",40.72142619,-73.96053273
"755","Animal in a Park",40.70435215,-74.00610973
"757","Animal in a Park",40.54939057,-74.20039798
"760","Animal in a Park",40.85772567,-73.86954889
"761","Animal in a Park",40.63029129,-74.08890347
"765","Animal in a Park",40.56379091,-74.09825542
"767","Animal in a Park",40.61535861,-73.976224
"769","Animal in a Park",40.72253466,-73.95934515
"771","Animal in a Park",40.58031564,-73.8354228
"776","Animal in a Park",40.77792945,-73.98208023
"778","Animal in a Park",40.67184842,-73.88728823
"782","Animal in a Park",40.69674446,-73.858331
"784","Animal in a Park",40.77948962,-73.92012643
"785","Animal in a Park",40.5565344,-74.12811764
"787","Animal in a Park",40.80264516,-73.9176208
"788","Animal in a Park",40.6940688,-73.82122953
"791","Animal in a Park",40.69176755,-73.99991346
"797","Animal in a Park",40.71199874,-73.78941362
"800","Animal in a Park",40.78838159,-73.94700145
"803","Animal in a Park",40.66770718,-73.90635333
"815","Animal in a Park",40.71150136,-73.78910138
"818","Animal in a Park",40.74403322,-74.00311803
"819","Animal in a Park",40.71090379,-73.99208976
"829","Animal in a Park",40.86463926,-73.92889992
"833","Animal in a Park",40.59820951,-74.10281446
"838","Animal in a Park",40.68079091,-73.99172918
"839","Animal in a Park",40.85337995,-73.93743558
"840","Animal in a Park",40.74821471,-73.9685398
"844","Animal in a Park",40.66919653,-73.96211009
"846","Animal in a Park",40.60789837,-73.93422983
"853","Animal in a Park",40.64918271,-73.97660835
"855","Animal in a Park",40.72326039,-73.98843007
"857","Animal in a Park",40.79175135,-73.97867094
"861","Animal in a Park",40.63878585,-73.94537274
"862","Animal in a Park",40.6613542,-73.9696801
"864","Animal in a Park",40.72561632,-73.94449701
"867","Animal in a Park",40.76070228,-73.97563426
"875","Animal in a Park",40.85856355,-73.86779395
"877","Animal in a Park",40.76142463,-73.86052173
"878","Animal in a Park",40.67584369,-73.78304211
"882","Animal in a Park",40.74747131,-73.74677985
"883","Animal in a Park",40.88531409,-73.89524068
"896","Animal in a Park",40.72972315,-73.95924335
"900","Animal in a Park",40.70725152,-73.95845637
"902","Animal in a Park",40.7169671,-73.99442661
"904","Animal in a Park",40.60106237,-73.93173379
"906","Animal in a Park",40.7993517,-73.95907791
"922","Animal in a Park",40.67584369,-73.78304211
"926","Animal in a Park",40.61103723,-74.01348096
"931","Animal in a Park",40.73915882,-73.85795213
"934","Animal in a Park",40.6760735,-73.97753265
"936","Animal in a Park",40.72994168,-73.99735889
"938","Animal in a Park",40.78842026,-73.97076339
"940","Animal in a Park",40.60711787,-73.98842139
"941","Animal in a Park",40.72972315,-73.95924335
"948","Animal in a Park",40.87313944,-73.90571327
"949","Animal in a Park",40.73303399,-73.98444127
"951","Animal in a Park",40.78842026,-73.97076339
"957","Animal in a Park",40.74243791,-73.76514954
"959","Animal in a Park",40.71922843,-73.96289694
"965","Animal in a Park",40.73043408,-73.95935837
"966","Animal in a Park",40.76946892,-73.94993716
"968","Animal in a Park",40.6613542,-73.9696801
"972","Animal in a Park",40.61599397,-74.1636026
"978","Animal in a Park",40.86536241,-73.87041969
"981","Animal in a Park",40.78769507,-73.9811423
"982","Animal in a Park",40.80036869,-73.97335509
"983","Animal in a Park",40.82030015,-73.85463563
"985","Animal in a Park",40.88070039,-73.91930328
"988","Animal in a Park",40.74480148,-73.99141809
"994","Animal in a Park",40.66919653,-73.96211009
"1002","Animal in a Park",40.71153734,-73.98674399
"1007","Animal in a Park",40.6613542,-73.9696801
"1008","Animal in a Park",40.85772567,-73.86954889
"1012","Animal in a Park",40.77146411,-73.99434624
"1019","Animal in a Park",40.78107813,-73.98536886
"1020","Animal in a Park",40.75261272,-73.79228818
"1023","Animal in a Park",40.85926003,-73.93416924
"1024","Animal in a Park",40.76992121,-73.76925495
"1030","Animal in a Park",40.87857909,-73.86884984
"1031","Animal in a Park",40.65986284,-73.97751288
"1034","Animal in a Park",40.71532327,-73.93869425
"1035","Animal in a Park",40.88815201,-73.81787214
"1040","Animal in a Park",40.70048656,-73.93636729
"1047","Animal in a Park",40.60847962,-74.06198916
"1056","Animal in a Park",40.83005178,-73.92241451
"1057","Animal in a Park",40.70682923,-73.96838982
"1058","Animal in a Park",40.69165227,-73.99951319
"1072","Animal in a Park",40.71922843,-73.96289694
"1076","Animal in a Park",40.81323338,-73.90907476
"1081","Animal in a Park",40.60281018,-74.08920899
"1082","Animal in a Park",40.6529076,-73.97769182
"1084","Animal in a Park",40.52357858,-74.18721694
"1090","Animal in a Park",40.77745272,-73.9888431
"1099","Animal in a Park",40.67219344,-73.98378494
"1106","Animal in a Park",40.81718927,-73.93445291
"1109","Animal in a Park",40.7405551,-73.78050019
"1116","Animal in a Park",40.89905356,-73.87294396
"1119","Animal in a Park",40.73170658,-74.00095616
"1121","Animal in a Park",40.85591977,-73.91718971
"1124","Animal in a Park",40.82853337,-73.90346027
"1125","Animal in a Park",40.63846735,-74.10287649
"1136","Animal in a Park",40.78229519,-73.96512584
"1141","Animal in a Park",40.66766873,-73.80714458
"1147","Animal in a Park",40.85996325,-73.91416243
"1148","Animal in a Park",40.63827866,-74.03088952
"1149","Animal in a Park",40.72958093,-73.96070109
"1153","Animal in a Park",40.81006558,-73.95496762
"1157","Animal in a Park",40.63370256,-73.96718507
"1159","Animal in a Park",40.67767957,-73.97959792
"1161","Animal in a Park",40.74672418,-73.75801388
"1164","Animal in a Park",40.64165308,-73.87919217
"1171","Animal in a Park",40.72142619,-73.96053273
"1172","Animal in a Park",40.72142619,-73.96053273
"1178","Animal in a Park",40.67140581,-73.96131936
"1182","Animal in a Park",40.78324184,-73.97453912
"1183","Animal in a Park",40.57483205,-73.96675323
"1184","Animal in a Park",40.88149498,-73.91737122
"1186","Animal in a Park",40.76477576,-73.88799014
"1192","Animal in a Park",40.70909238,-74.00551141
"1196","Animal in a Park",40.80036424,-73.95833324
"1198","Animal in a Park",40.66669588,-73.96161767
"1199","Animal in a Park",40.84536979,-73.94051891
"1208","Animal in a Park",40.80506396,-73.94116539
